"","id","type","pollster","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Sanders","Biden","Bloomberg","Warren","Buttigieg","Klobuchar","Steyer","Gabbard","Harris","O'Rourke","Yang","Booker","Bennet","Patrick","Delaney","Castro","Williamson","Bullock","Sestak","Messam","Ryan","de Blasio","Gillibrand","Inslee","Hickenlooper","Moulton","Swalwell","Gravel","Brown","Holder","Clinton","McAuliffe"
"12","126448","poll","The Hill/HarrisX","2/7 - 2/10","","913 RV","","",Biden,,+3.0,#009900,2020-02-11 21:29:10,"https://projects.fivethirtyeight.com/polls/president-primary-d/",2020-02-07,2020-02-10,"1","Biden","","+3.0","#009900",20.0,23.0,16.0, 9.0, 9.0,3.0,3.0,1.0,NA,NA, 3.0,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","126444","poll","Monmouth","2/6 - 2/9","","357 RV","5.2","",Sanders,,+10.0,#457fff,2020-02-11 09:52:30,"https://www.monmouth.edu/polling-institute/reports/monmouthpoll_US_021120/",2020-02-06,2020-02-09,"1","Sanders","","+10.0","#457fff",26.0,16.0,11.0,13.0,13.0,6.0,1.0,1.0,NA,NA, 4.0,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","126416","poll","Quinnipiac","2/5 - 2/9","","665 RV","3.8","",Sanders,,+8.0,#457fff,2020-02-10 14:06:48,"https://poll.qu.edu/national/release-detail?ReleaseID=3655",2020-02-05,2020-02-09,"1","Sanders","","+8.0","#457fff",25.0,17.0,15.0,14.0,10.0,4.0,1.0,1.0,NA,NA, 2.0,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","126443","poll","Politico/Morning Consult","2/4 - 2/9","","15346 RV","","",Sanders,,+3.0,#457fff,2020-02-19 08:51:09,"https://morningconsult.com/2020-democratic-primary/",2020-02-04,2020-02-09,"1","Sanders","","+3.0","#457fff",25.0,22.0,17.0,11.0,11.0,3.0,3.0,1.0,NA,NA, 4.0,NA,1.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","126334","poll","Economist/YouGov","2/2 - 2/4","","616 RV","","",Biden,,+5.0,#009900,2020-02-05 10:00:38,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/73jqd6u5mv/econTabReport.pdf",2020-02-02,2020-02-04,"1","Biden","","+5.0","#009900",19.0,24.0, 9.0,18.0, 9.0,6.0,2.0,3.0,NA,NA, 3.0,NA,1.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","126315","poll","Politico/Morning Consult","1/27 - 2/2","","15259 RV","","",Biden,,+4.0,#009900,2020-02-19 08:51:45,"https://morningconsult.com/2020-democratic-primary/",2020-01-27,2020-02-02,"1","Biden","","+4.0","#009900",24.0,28.0,14.0,14.0, 6.0,3.0,3.0,2.0,NA,NA, 4.0,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","126322","poll","Harvard-Harris","1/27 - 1/29","","980 RV","","",Biden,,+11.0,#009900,2020-02-05 11:07:44,"https://thehill.com/homenews/campaign/481245-trump-trails-democrats-but-approval-near-highs",2020-01-27,2020-01-29,"1","Biden","","+11.0","#009900",20.0,31.0,13.0,12.0, 6.0,3.0,2.0,1.0,NA,NA, 3.0,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","126277","poll","NBC News/Wall St. Jrnl","1/26 - 1/29","","428 LV","","",Sanders,,+1.0,#457fff,2020-01-31 08:26:50,"https://www.nbcnews.com/politics/2020-election/sanders-biden-are-neck-neck-new-nbc-wsj-national-poll-n1127051",2020-01-26,2020-01-29,"1","Sanders","","+1.0","#457fff",27.0,26.0, 9.0,15.0, 7.0,5.0,2.0,2.0,NA,NA, 4.0,NA,0.0,1.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","126226","poll","Economist/YouGov","1/26 - 1/28","","591 RV","","",Biden,,+2.0,#009900,2020-01-29 09:49:25,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3ormein07a/econTabReport.pdf",2020-01-26,2020-01-28,"1","Biden","","+2.0","#009900",24.0,26.0, 4.0,20.0, 7.0,4.0,1.0,3.0,NA,NA, 4.0,NA,0.0,1.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","126289","poll","IBD/TIPP","1/23 - 1/30","","336 RV","","",Biden,,+7.0,#009900,2020-01-31 15:39:38,"https://www.investors.com/politics/trump-impeachment-trial-americans-oppose-removal-ibd-tipp/",2020-01-23,2020-01-30,"1","Biden","","+7.0","#009900",19.0,26.0, 8.0,13.0, 7.0,3.0,2.0,1.0,NA,NA, 4.0,NA,1.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
