"","id","type","pollster","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Biden","Trump"
"1","6861","rcp_average","rcp_average","2/11 - 2/20","","","","",Biden,Democrat,+4.5,,NA,NA,NA,NA,NA,"Biden","Democrat","+4.5","",48,43.5
"2","126678","poll_rcp_avg","Univ. of Wis/State Journal","2/11 - 2/20","","1249 LV","3.5","",Biden,Democrat,+1.0,,2020-02-23 12:15:05,"https://news.wisc.edu/battleground-state-poll-1/",2020-02-11,2020-02-20,"1","Biden","Democrat","+1.0","",46,45.0
"3","126622","poll_rcp_avg","Quinnipiac","2/12 - 2/18","","845 RV","3.4","",Biden,Democrat,+8.0,,2020-02-20 14:54:54,"https://poll.qu.edu/2020-presidential-swing-state-polls/release-detail?ReleaseID=3656",2020-02-12,2020-02-18,"1","Biden","Democrat","+8.0","",50,42.0
"4","124954","poll","Morning Call","11/4 - 11/9","","410 RV","6.0","",Biden,Democrat,+9.0,,2019-11-14 16:59:46,"https://www.muhlenberg.edu/media/contentassets/pdf/academics/polisci/PA_Pres_Nov_2019__Report_%20(1).pdf",2019-11-04,2019-11-09,"1","Biden","Democrat","+9.0","",52,43.0
"5","124747","poll","NY Times/Siena","10/13 - 10/26","","661 LV","4.4","",Biden,Democrat,+1.0,,2019-11-04 11:31:58,"https://github.com/ndcohn/battleground-poll-2019/blob/master/PA110419%20Crosstabs.pdf",2019-10-13,2019-10-26,"1","Biden","Democrat","+1.0","",46,45.0
"6","121895","poll","Quinnipiac","5/9 - 5/14","","978 RV","4.2","",Biden,Democrat,+11.0,,2019-05-15 13:19:58,"https://poll.qu.edu/pennsylvania/release-detail?ReleaseID=2620",2019-05-09,2019-05-14,"1","Biden","Democrat","+11.0","",53,42.0
"7","122340","poll","WPAi (R)*","4/27 - 4/30","","200 LV","6.9","",Biden,Democrat,+1.0,,2019-06-14 11:59:51,"https://www.washingtonexaminer.com/news/campaigns/gop-poll-reassuring-for-trump-in-key-states-but-offers-warning-about-michigan",2019-04-27,2019-04-30,"1","Biden","Democrat","+1.0","",46,45.0
"8","121313","poll","Emerson","3/26 - 3/28","","808 RV","3.4","",Biden,Democrat,+10.0,,2019-03-28 20:11:28,"https://emersonpolling.reportablenews.com/pr/pennsylvania-2020-biden-leads-democratic-field-in-pennsylvania-biden-and-sanders-lead-trump-by-10-points-in-general-election",2018-03-26,2019-03-28,"1","Biden","Democrat","+10.0","",55,45.0
