"","id","type","pollster","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Trump","Buttigieg"
"1","6970","rcp_average","rcp_average","1/5 - 2/20","","","","",Trump,Republican,+2.8,,NA,NA,NA,NA,NA,"Trump","Republican","+2.8","",45.3,42.5
"2","126659","poll_rcp_avg","Univ. of Wis/State Journal","2/11 - 2/20","","936 RV","4.0","",Trump,Republican,+2.0,,2020-02-23 12:09:54,"https://news.wisc.edu/battleground-state-poll-1/",2020-02-11,2020-02-20,"1","Trump","Republican","+2.0","",45.0,43.0
"3","126629","poll_rcp_avg","Quinnipiac","2/12 - 2/18","","823 RV","3.4","",Trump,Republican,+8.0,,2020-02-20 12:27:40,"https://poll.qu.edu/2020-presidential-swing-state-polls/release-detail?ReleaseID=3656",2020-02-12,2020-02-18,"1","Trump","Republican","+8.0","",49.0,41.0
"4","126016","poll_rcp_avg","Marquette","1/8 - 1/12","","800 RV","4.1","",Trump,Republican,+2.0,,2020-01-15 14:36:30,"https://law.marquette.edu/poll/wp-content/uploads/2020/01/MLSP57Toplines.pdf",2020-01-08,2020-01-12,"1","Trump","Republican","+2.0","",46.0,44.0
"5","125891","poll_rcp_avg","FOX News","1/5 - 1/8","","1504 RV","2.5","",Buttigieg,Democrat,+1.0,,2020-01-09 19:11:51,"https://www.foxnews.com/politics/fox-news-poll-races-tighten-between-trump-and-democrats-in-wisconsin",2020-01-05,2020-01-08,"1","Buttigieg","Democrat","+1.0","",41.0,42.0
"6","125467","poll","Marquette","12/3 - 12/8","","800 RV","4.1","",Trump,Republican,+1.0,,2019-12-12 16:19:14,"https://law.marquette.edu/poll/wp-content/uploads/2019/12/MLSP56Toplines.pdf",2019-12-03,2019-12-08,"1","Trump","Republican","+1.0","",44.0,43.0
"7","125066","poll","Marquette","11/13 - 11/17","","801 RV","4.1","",Trump,Republican,+8.0,,2019-11-20 15:19:33,"https://law.marquette.edu/poll/wp-content/uploads/2019/11/MLSP55Toplines.pdf",2019-11-13,2019-11-17,"1","Trump","Republican","+8.0","",47.0,39.0
"8","124528","poll","Marquette","10/13 - 10/17","","799 RV","4.2","",Trump,Republican,+2.0,,2019-10-23 22:53:58,"https://law.marquette.edu/poll/2019/10/23/new-marquette-law-school-poll-finds-increased-support-for-trump-impeachment-hearings-since-the-spring-while-opinions-about-trump-have-changed-little/",2019-10-13,2019-10-17,"1","Trump","Republican","+2.0","",45.0,43.0
