"","id","type","pollster","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Warren","Trump"
"1","6769","rcp_average","rcp_average","1/3 - 2/20","","","","",Warren,Democrat,+2.5,,NA,NA,NA,NA,NA,"Warren","Democrat","+2.5","",46.3,43.8
"2","126675","poll_rcp_avg","Univ. of Wis/State Journal","2/11 - 2/20","","1249 LV","3.0","",Warren,Democrat,+3.0,,2020-02-23 12:12:50,"https://news.wisc.edu/battleground-state-poll-1/",2020-02-11,2020-02-20,"1","Warren","Democrat","+3.0","",46.0,43.0
"3","126619","poll_rcp_avg","Quinnipiac","2/12 - 2/18","","845 RV","3.4","",Warren,Democrat,+2.0,,2020-02-20 12:13:32,"https://poll.qu.edu/2020-presidential-swing-state-polls/release-detail?ReleaseID=3656",2020-02-12,2020-02-18,"1","Warren","Democrat","+2.0","",45.0,43.0
"4","126001","poll_rcp_avg","EPIC-MRA","1/9 - 1/12","","600 LV","4.0","",Warren,Democrat,+3.0,,2020-01-15 12:17:58,"https://www.freep.com/story/news/politics/elections/2020/01/15/mike-bloomberg-other-democrats-lead-donald-trump-michigan-poll/4469175002/",2020-01-09,2020-01-12,"1","Warren","Democrat","+3.0","",48.0,45.0
"5","125860","poll_rcp_avg","Detroit News/WDIV-TV","1/3 - 1/7","","600 LV","4.0","",Warren,Democrat,+2.0,,2020-01-09 09:39:32,"https://www.detroitnews.com/story/news/politics/2020/01/09/biden-bloomberg-have-largest-leads-against-trump-michigan-poll/2846700001/",2020-01-03,2020-01-07,"1","Warren","Democrat","+2.0","",46.0,44.0
"6","124739","poll","NY Times/Siena","10/13 - 10/25","","501 LV","5.1","",Trump,Republican,+5.0,,2019-11-04 11:36:03,"https://github.com/ndcohn/battleground-poll-2019/blob/master/MI110419%20Crosstabs.pdf",2019-10-13,2019-10-25,"1","Trump","Republican","+5.0","",40.0,45.0
"7","124735","poll","Emerson","10/31 - 11/3","","1051 RV","3.0","",Warren,Democrat,+8.0,,2019-11-03 23:43:20,"https://emersonpolling.reportablenews.com/pr/michigan-2020-democrats-aim-to-take-back-the-state",2019-10-31,2019-11-03,"1","Warren","Democrat","+8.0","",54.0,46.0
"8","123404","poll","EPIC-MRA","8/17 - 8/21","","600 LV","4.0","",Warren,Democrat,+6.0,,2019-08-28 09:18:03,"https://www.woodtv.com/news/elections/mi-poll-dems-top-trump-but-undecideds-could-tip-scale/",2019-08-17,2019-08-21,"1","Warren","Democrat","+6.0","",49.0,43.0
"9","122194","poll","Detroit News/WDIV-TV","5/28 - 5/30","","600 LV","4.0","",Warren,Democrat,+4.0,,2019-06-05 12:03:51,"https://www.detroitnews.com/story/news/politics/2019/06/05/biden-sanders-democrats-lead-trump-michigan-poll/1330277001/",2019-05-28,2019-05-30,"1","Warren","Democrat","+4.0","",47.0,43.0
"10","121074","poll","Emerson","3/7 - 3/10","","743 RV","3.5","",Warren,Democrat,+2.0,,2019-03-10 19:19:59,"https://emersonpolling.reportablenews.com/pr/michigan-2020-primary-biden-with-strong-lead-but-sanders-waiting-in-the-wings",2019-03-07,2019-03-10,"1","Warren","Democrat","+2.0","",51.0,49.0
"11","120601","poll","Detroit News/WDIV-TV","1/24 - 1/26","","600 LV","4.0","",Warren,Democrat,+3.0,,2019-01-30 09:23:59,"https://www.clickondetroit.com/michigan-politics/wdivdetroit-news-poll-trump-faces-uphill-re-election-battle-in-michigan",2019-01-24,2019-01-26,"1","Warren","Democrat","+3.0","",46.0,43.0
