"Poll","Date","Sample","MoE","Buttigieg (D)","Trump (R)","Spread","id"
"NBC News/MaristNBC/Marist","1/20 - 1/23","2223 RV","2.6",51,41,"Buttigieg +10",7956
"RCP Average","11/13 - 1/23","--","--",51,43.3,"Buttigieg +7.7",6615
"St. AnselmSt. Anselm","11/13 - 11/18","512 RV","4.3",49,42,"Buttigieg +7",5696
"WHDH/EmersonEmerson","11/22 - 11/26","1184 RV","4.2",53,47,"Buttigieg +6",5661
