"Poll","Date","Sample","MoE","Trump (R)","Buttigieg (D)","Spread","id"
"EmersonEmerson","3/28 - 3/30","719 RV","3.6",52,48,"Trump +4",4139
"FOX NewsFOX News","1/5 - 1/8","1505 RV","2.5",40,41,"Buttigieg +1",5854
"FOX NewsFOX News","11/10 - 11/13","1506 RV","2.5",41,41,"Tie",7638
"GravisGravis","8/14 - 8/16","926 RV","3.2",46,42,"Trump +4",4993
"RCP Average","3/28 - 1/8","--","--",46,43.7,"Trump +2.3",3314
