"Poll","Date","Sample","MoE","Sanders (D)","Trump (R)","Spread","id"
"EmersonEmerson","2/21 - 2/22","910 RV","3.2",55,45,"Sanders +10",9596
"EmersonEmerson","9/6 - 9/9","1041 RV","2.9",53,48,"Sanders +5",2887
"NBC News/MaristNBC/Marist","1/20 - 1/23","2223 RV","2.6",51,43,"Sanders +8",7956
"RCP Average","11/13 - 1/23","--","--",50.7,45.7,"Sanders +5.0",6615
"St. AnselmSt. Anselm","11/13 - 11/18","512 RV","4.3",49,46,"Sanders +3",5696
"WHDH/EmersonEmerson","11/22 - 11/26","1184 RV","4.2",52,48,"Sanders +4",5661
