"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bloombergm","results.warrene","results.buttigiegp","results.klobuchara","results.gabbardt","results.steyert","results.bennetm","results.yanga","results.bookerc","results.castroj","results.williamsonm","results.patrickd","results.delaneyj","results.write_ins","results.uncommitted"
"43","47085","Humphreys",  1065,  8,  8,  455,  239,  220,   56,   33,   30,    6,    9,    4,    2,    4,    0,    0,    1,    0,    0,    6
"44","47087","Jackson",   533, 13, 13,  234,  139,   76,   33,   22,   11,    4,    5,    1,    2,    1,    0,    0,    0,    1,    2,    2
"45","47089","Jefferson",  2085, 11, 11,  862,  545,  352,  186,   59,   43,    7,    7,    2,    6,    4,    0,    2,    0,    2,    3,    5
"46","47091","Johnson",   608, 10, 10,  224,  177,   89,   46,   35,   22,    3,    4,    2,    1,    0,    0,    0,    1,    2,    2,    0
"47","47093","Knox", 46391, 89, 89,14877,14716, 6509, 6239, 2044, 1256,  223,  123,   95,  107,   54,   10,   20,    9,   25,    0,   84
"48","47095","Lake",   245,  3,  3,  133,   51,   39,    8,    2,    2,    0,    0,    7,    1,    1,    1,    0,    0,    0,    0,    0
"49","47097","Lauderdale",  1301, 13, 13,  727,  223,  245,   36,   15,   13,    5,    8,   10,    6,    3,    0,    0,    2,    3,    0,    5
"50","47099","Lawrence",  1650, 25, 25,  803,  379,  272,   89,   25,   39,   11,   10,    8,    1,    2,    1,    1,    1,    2,    0,    6
"51","47101","Lewis",   526,  9,  9,  169,  192,   83,   43,   17,   10,    6,    0,    3,    0,    0,    0,    0,    0,    2,    0,    1
"52","47103","Lincoln",  1385, 20, 20,  648,  287,  227,  112,   32,   28,    8,   11,    6,    2,    4,    3,    9,    0,    0,    2,    6
"53","47105","Loudon",  3329, 15, 15, 1288,  637,  746,  244,  179,  178,   11,   14,    9,    5,    4,    3,    3,    0,    3,    0,    5
"54","47111","Macon",   570, 10, 10,  209,  161,  128,   26,   24,    9,    2,    2,    4,    1,    0,    1,    0,    0,    1,    1,    1
"55","47113","Madison",  6996, 33, 33, 4061, 1121, 1003,  416,  128,  115,   16,   39,   30,   10,   19,    1,    7,    4,    9,    0,   17
"56","47115","Marion",  2416, 17, 17, 1027,  419,  441,  158,   76,   62,   67,   23,   24,   13,   13,    4,    3,    2,   19,    0,   65
"57","47117","Marshall",  1548,  9,  9,  672,  379,  255,  122,   47,   35,    7,    9,    2,    4,    5,    0,    3,    2,    2,    1,    3
"58","47119","Maury",  5776, 20, 20, 2363, 1343,  763,  433,  190,  115,   43,   64,  245,   17,   34,    2,    2,  143,    2,    4,   13
"59","47107","McMinn",  2139, 15, 15,  952,  453,  360,  159,   73,   55,   15,   28,   11,    6,    4,    3,    1,    5,    1,    0,   13
"60","47109","McNairy",   957, 18, 18,  573,  153,  139,   34,   16,   10,    4,    3,    6,    5,    4,    0,    3,    0,    2,    2,    3
"61","47121","Meigs",   541,  7,  7,  258,  101,  101,   25,   13,   21,    5,    4,    2,    0,    4,    0,    0,    0,    2,    1,    4
"62","47123","Monroe",  1895, 13, 13,  863,  403,  386,  104,   59,   50,    6,    7,    1,    3,    1,    1,    1,    1,    1,    0,    8
"63","47125","Montgomery", 12405, 29, 29, 5350, 3402, 1711, 1024,  373,  236,   67,   57,   52,   44,   29,   16,    5,    8,   17,    0,   14
"64","47127","Moore",   300,  5,  5,  138,   51,   60,   24,   12,    5,    2,    2,    1,    0,    0,    0,    2,    0,    1,    0,    2
"65","47129","Morgan",   641, 13, 13,  236,  165,  124,   56,   22,   11,    6,    7,    7,    1,    0,    0,    0,    1,    1,    0,    4
"66","47131","Obion",  1075, 12, 12,  580,  202,  145,   54,   36,   24,    6,    7,    5,    4,    4,    2,    0,    1,    2,    0,    3
"67","47133","Overton",  1221, 10, 10,  512,  281,  248,   61,   31,   26,    8,   10,   10,    4,    9,    2,    4,    1,    1,    6,    7
"68","47135","Perry",   308, 10, 10,  135,   75,   55,   16,   12,    6,    4,    3,    0,    0,    1,    0,    0,    0,    1,    0,    0
"69","47137","Pickett",   280,  9,  9,  132,   48,   66,   12,    8,   12,    0,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0
"70","47139","Polk",  1052, 10, 10,  467,  222,  176,   47,   27,   43,   11,    8,    5,    2,    1,    0,    2,    2,    1,    0,   38
"71","47141","Putnam",  4406, 23, 23, 1359, 1509,  631,  422,  224,  156,   27,   29,    9,   12,   11,    2,    0,    3,    1,    0,   11
"72","47143","Rhea",  1163, 14, 14,  541,  266,  210,   72,   26,   15,   10,    7,    4,    2,    1,    1,    1,    0,    0,    0,    7
"73","47145","Roane",  3167, 24, 24, 1297,  743,  557,  244,  145,  117,   23,   11,    6,    5,    2,    1,    2,    2,    5,    0,    7
"74","47147","Robertson",  3750, 18, 18, 1621,  859,  652,  298,  116,   98,   26,   25,   12,    8,    6,    3,    1,    1,    5,    7,   12
"75","47149","Rutherford", 24022, 49, 49, 9102, 7800, 2832, 2515,  878,  445,  120,   75,   48,   75,   48,   15,   10,    3,   10,   25,   21
"76","47151","Scott",   413, 11, 11,  192,  108,   61,   25,    7,    7,    4,    3,    1,    0,    1,    0,    1,    0,    0,    1,    2
"77","47153","Sequatchie",   670,  9,  9,  270,  161,  131,   50,   26,   24,    4,    1,    1,    1,    0,    0,    0,    1,    0,    0,    0
"78","47155","Sevier",  3889, 25, 25, 1536, 1148,  588,  309,  153,   83,   23,   12,    4,    7,    2,    2,    5,    3,    3,    2,    9
"79","47157","Shelby",102251,165,165,50273,20482,18183, 8461, 1747, 1123,  229,  280,  623,  127,  311,   50,   28,   54,  100,   72,  108
"80","47159","Smith",  1107,  8,  8,  391,  239,  291,   73,   34,   28,    3,    7,   10,    6,    5,    1,    1,    0,    2,    2,   14
"81","47161","Stewart",   673,  9,  9,  279,  148,  133,   43,   21,   24,    3,    3,    5,    4,    3,    1,    0,    0,    0,    3,    3
"82","47163","Sullivan",  7653, 25, 25, 3146, 2251, 1014,  660,  268,  191,   43,   29,   17,   12,    2,    1,    6,    2,    3,    0,    8
"83","47165","Sumner", 11625, 27, 27, 4996, 2874, 1708, 1201,  402,  234,   72,   44,   27,   16,   19,    7,    8,    4,    4,    0,    9
"84","47167","Tipton",  2416,  9,  9, 1144,  517,  460,  174,   44,   30,   13,    9,    8,    3,    3,    1,    0,    1,    6,    0,    3
"85","47169","Trousdale",   422, 10, 10,  182,   81,  111,   21,   13,    9,    1,    2,    1,    0,    1,    0,    0,    0,    0,    0,    0
"86","47171","Unicoi",   779,  8,  8,  265,  283,  117,   56,   22,   23,    5,    2,    1,    1,    1,    0,    0,    0,    0,    1,    2
"87","47173","Union",   609,  9,  9,  288,  159,  103,   25,    8,    4,    6,    7,    1,    3,    0,    0,    0,    0,    0,    2,    3
"88","47175","Van Buren",   313,  8,  8,  132,   58,   69,   24,    9,    8,    1,    2,    3,    0,    3,    0,    0,    0,    1,    0,    3
"89","47177","Warren",  2119, 20, 20,  817,  506,  412,  157,   71,   59,   22,   19,   16,    5,   11,    3,    1,    1,    5,    2,   12
"90","47179","Washington",  8602, 35, 35, 2828, 3094, 1039,  934,  370,  221,   36,   31,   13,   12,    7,    2,    2,    0,    4,    0,    9
"91","47181","Wayne",   330, 15, 15,  155,   58,   62,   22,   17,    4,    0,    3,    1,    0,    2,    1,    2,    0,    0,    0,    3
"92","47183","Weakley",  1414, 10, 10,  624,  323,  192,  138,   42,   45,   10,    6,   10,    2,    2,    0,    2,    1,    1,    0,   16
"93","47185","White",  1144, 11, 11,  481,  274,  205,   67,   41,   24,   11,   10,    1,    4,    1,    0,    1,    1,    2,    0,   21
"94","47187","Williamson", 24027, 43, 43,10433, 4670, 3930, 2880, 1086,  709,  132,   50,   28,   33,   19,    4,    9,    3,    6,   24,   11
"95","47189","Wilson",  8745, 33, 33, 3403, 1882, 1582,  907,  486,  295,   43,   40,   16,   21,   10,    3,   11,    1,    7,    0,   38
