"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.warrene","results.gabbardt","results.yanga","results.uncommitted"
"1","44001","Bristol", 783, 3, 3, 508, 203,  39,  18,  10,   5
"2","44003","Kent",1790, 7, 7,1077, 540,  58,  34,  38,  43
"3","44005","Newport",1176, 6, 6, 794, 291,  51,  12,  15,  13
"4","44007","Providence",8595,22,22,5240,2697, 363,  76,  90, 129
"5","44009","Washington",1695, 9, 9,1029, 516,  82,  24,  29,  15
"6",NA,NA,   0, 0, 2,   0,   0,   0,   0,   0,   0
