"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bloombergm","results.warrene","results.buttigiegp","results.gabbardt","results.klobuchara","results.steyert","results.patrickd","results.bennetm","results.bookerc","results.write_ins"
"54","39107","Mercer",  1665, 36, 36, 1209,  220,   78,   46,   56,    8,   20,   10,    3,    9,    5,    1
"55","39109","Miami",  4825, 85, 85, 3587,  709,  150,  143,  103,   16,   65,   10,    3,   12,   13,   14
"56","39111","Monroe",  1189, 20, 20,  835,  114,   51,   38,   35,   25,   43,   18,   12,   18,    0,    0
"57","39113","Montgomery", 36615,360,360,28135, 5466,  682, 1074,  509,  130,  396,   57,   23,   49,    0,   94
"58","39115","Morgan",   655, 13, 13,  459,  101,   37,   23,   12,    6,   10,    3,    2,    2,    0,    0
"59","39117","Morrow",  1533, 33, 33, 1093,  244,   69,   51,   27,   13,   23,   11,    1,    1,    0,    0
"60","39119","Muskingum",  3926, 68, 68, 3056,  521,  134,   99,   45,    8,   36,    8,    3,   16,    0,    0
"61","39121","Noble",   883, 19, 19,  528,  108,   41,   42,   34,   23,   45,   19,    5,    9,   17,   12
"62","39123","Ottawa",  3290, 36, 36, 2527,  383,  112,   81,   66,   11,   69,   14,    3,   13,    6,    5
"63","39125","Paulding",   796, 16, 16,  595,   90,   29,   21,   21,    6,   16,    7,    1,    6,    3,    1
"64","39127","Perry",  1509, 33, 33, 1148,  183,   58,   32,   23,   18,   27,    8,    0,    6,    6,    0
"65","39129","Pickaway",  2584, 42, 42, 1938,  345,   97,   63,   57,   15,   35,   14,    4,    6,    9,    1
"66","39131","Pike",  1252, 22, 22,  945,  154,   59,   33,    7,   16,   20,   11,    1,    6,    0,    0
"67","39133","Portage", 13297,129,129, 9373, 2377,  429,  496,  226,   97,  201,   47,   13,   38,    0,    0
"68","39135","Preble",  1481, 42, 42, 1090,  229,   40,   45,   35,    5,   30,    5,    1,    1,    0,    0
"69","39137","Putnam",  1272, 25, 25,  978,  115,   56,   36,   35,    4,   21,   13,    3,   11,    0,    0
"70","39139","Richland",  5747, 83, 83, 4325,  808,  201,  164,   81,   26,   85,   25,   10,   21,    0,    1
"71","39141","Ross",  3943, 65, 65, 3013,  544,  151,   82,   48,   12,   42,   19,    2,   12,   11,    7
"72","39143","Sandusky",  3645, 58, 58, 2677,  505,  125,  110,   70,   21,   88,   34,    6,    9,    0,    0
"73","39145","Scioto",  3082, 77, 77, 2286,  496,   83,   89,   35,   14,   39,   22,    7,   11,    0,    0
"74","39147","Seneca",  3213, 51, 51, 2409,  449,   90,   70,   69,   17,   44,   44,    3,    7,    4,    7
"75","39149","Shelby",  1697, 35, 35, 1276,  227,   60,   33,   35,   10,   32,    6,    3,   15,    0,    0
"76","39151","Stark", 26059,274,274,19646, 3410,  895,  787,  522,  152,  432,  112,   31,   72,    0,    0
"77","39153","Summit", 46468,420,420,34214, 7073, 1328, 1700,  807,  258,  758,  180,   53,   97,    0,    0
"78","39155","Trumbull", 21882,158,158,16425, 2702,  825,  471,  454,  294,  386,  126,   35,   76,    0,   88
"79","39157","Tuscarawas",  5751, 81, 81, 3964,  836,  290,  224,  153,   50,  147,   55,    9,   23,    0,    0
"80","39159","Union",  2987, 45, 45, 2113,  584,   86,   92,   43,   15,   35,   12,    2,    4,    0,    1
"81","39161","Van Wert",   982, 39, 39,  690,  143,   32,   35,   30,    1,   25,   12,    1,    6,    5,    2
"82","39163","Vinton",   555, 20, 20,  379,   97,   31,   15,   11,    2,    7,    7,    1,    5,    0,    0
"83","39165","Warren", 15154,175,175,10928, 2722,  385,  481,  271,   84,  171,   14,    7,   19,   32,   40
"84","39167","Washington",  3624, 50, 50, 2609,  559,  102,  122,  102,   24,   59,   22,    9,   16,    0,    0
"85","39169","Wayne",  3934, 67, 67, 3082,  533,   77,  109,   49,   17,   39,   19,    1,    8,    0,    0
"86","39171","Williams",  1460, 26, 26, 1041,  253,   55,   36,   26,    4,   31,    5,    1,    5,    3,    0
"87","39173","Wood",  9747, 95, 95, 6817, 2004,  221,  303,  163,   32,  128,   42,    7,   12,   14,    4
"88","39175","Wyandot",   835, 23, 23,  596,  139,   30,   28,   10,    4,   17,    5,    3,    3,    0,    0
