"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.buttigiegp","results.warrene","results.bloombergm","results.klobuchara","results.yanga","results.gabbardt","results.steyert"
"75","18149","Starke", 1293, 21, 21,  967,  135,   98,   15,   36,   14,   10,   10,    8
"76","18151","Steuben", 1499, 23, 23, 1249,  138,   52,   34,   12,    6,    4,    2,    2
"77","18153","Sullivan",  680, 21, 21,  566,   41,   19,   11,   13,   12,   12,    2,    4
"78","18155","Switzerland",  448, 12, 12,  352,   41,   12,   12,   16,    5,    5,    3,    2
"79","18157","Tippecanoe",11845,111,111, 8499, 2125,  406,  499,   79,   83,  100,   42,   12
"80","18159","Tipton",  659, 15, 15,  496,   77,   37,   19,   10,    7,    5,    6,    2
"81","18161","Union",  315, 10, 10,  246,   38,    8,    4,    4,    3,    8,    3,    1
"82","18163","Vanderburgh",11026,132,132, 8530, 1613,  270,  312,   82,   70,   83,   37,   29
"83","18165","Vermillion", 1727, 17, 17, 1203,  176,   84,   48,   71,   30,   53,   39,   23
"84","18167","Vigo",11103, 86, 86, 7948, 1304,  580,  336,  255,  193,  248,  159,   80
"85","18169","Wabash", 1213, 26, 26,  966,  154,   25,   34,   15,    6,    7,    4,    2
"86","18171","Warren",  289, 13, 13,  228,   31,   10,    7,    1,    6,    2,    1,    3
"87","18173","Warrick", 4029, 57, 57, 3189,  474,  121,  113,   32,   24,   41,   21,   14
"88","18175","Washington", 1225, 20, 20,  979,  136,   35,   20,   14,   15,   11,    8,    7
"89","18177","Wayne", 3333, 58, 58, 2564,  493,   92,   97,   25,   23,   14,   13,   12
"90","18179","Wells", 1013, 22, 22,  810,   92,   42,   23,   12,   13,    5,    5,   11
"91","18181","White",  955, 19, 19,  765,  103,   37,   22,   13,    6,    5,    3,    1
"92","18183","Whitley", 1401, 34, 34, 1088,  184,   55,   27,   14,    8,   12,    6,    7
