"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bloombergm","results.klobuchara","results.gabbardt","results.warrene","results.buttigiegp","results.uninstructed","results.steyert","results.yanga","results.delaneyj","results.patrickd","results.bennetm"
"51","55099","Price",  2134, 23, 23, 1440,  565,   26,   22,   11,   24,   16,   10,    4,   10,    2,    4,    0
"52","55101","Racine", 27599, 64, 64,18336, 7885,  313,  123,  186,  321,  167,  109,   20,   99,   18,    7,   15
"53","55103","Richland",  2504, 34, 34, 1670,  680,   38,   18,   18,   46,   11,    9,    2,    6,    3,    1,    2
"54","55105","Rock", 24563, 97, 97,16078, 7341,  239,  144,  147,  293,  107,   90,   26,   68,   13,    3,   14
"55","55107","Rusk",  1570, 33, 33, 1135,  347,   16,   17,   13,   13,    6,   13,    1,    5,    2,    1,    1
"56","55111","Sauk", 11750, 77, 77, 7728, 3368,  143,   90,   72,  166,   66,   46,   14,   47,    1,    3,    6
"57","55113","Sawyer",  2363, 21, 21, 1569,  690,   14,   29,   12,   24,   10,    4,    3,    5,    0,    1,    2
"58","55115","Shawano",  3841, 43, 43, 2558, 1031,   75,   34,   26,   49,   21,   23,    6,    6,    3,    4,    5
"59","55117","Sheboygan", 15389, 58, 58,10284, 4217,  244,   84,   97,  177,   86,   83,   22,   61,   15,   10,    9
"60","55109","St. Croix", 11033, 59, 59, 7689, 2744,   68,  216,   76,   93,   43,   42,    9,   39,    7,    2,    5
"61","55119","Taylor",  1606, 27, 27, 1147,  321,   26,   27,    8,   18,   12,   15,    4,   23,    2,    1,    2
"62","55121","Trempealeau",  3770, 26, 26, 2583,  941,   57,   54,   21,   45,   20,   25,    5,   11,    6,    1,    1
"63","55123","Vernon",  4711, 33, 33, 2796, 1685,   32,   51,   42,   46,   15,   24,    5,    6,    5,    1,    3
"64","55125","Vilas",  3453, 15, 15, 2478,  806,   40,   18,   29,   29,   20,   18,    6,    8,    1,    0,    0
"65","55127","Walworth", 12984, 47, 47, 8439, 3805,  157,   77,   78,  189,   89,   60,    9,   54,   13,    6,    8
"66","55129","Washburn",  2250, 25, 25, 1622,  494,   15,   49,   16,   22,    8,   13,    3,    8,    0,    0,    0
"67","55131","Washington", 16241, 36, 36,10872, 4360,  220,  119,  134,  203,  124,   89,   19,   70,   15,    9,    7
"68","55133","Waukesha", 62008,216,216,41660,16962,  698,  386,  481,  768,  434,  222,   50,  254,   32,   24,   37
"69","55135","Waupaca",  5774, 56, 56, 3853, 1583,   75,   56,   33,   58,   40,   25,   15,   24,    4,    4,    4
"70","55137","Waushara",  2577, 26, 26, 1822,  589,   30,   44,   16,   32,   12,   14,    3,    9,    2,    1,    3
"71","55139","Winnebago", 25605, 86, 86,15880, 8159,  356,  166,  212,  376,  177,  123,   32,   94,   13,    7,   10
"72","55141","Wood", 10127, 44, 44, 6869, 2663,  172,   72,   69,   94,   51,   46,   15,   46,   15,    8,    7
