"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bloombergm","results.warrene","results.buttigiegp","results.klobuchara","results.no_preference","results.steyert","results.gabbardt","results.yanga","results.bookerc","results.bennetm","results.delaneyj","results.castroj","results.patrickd","results.williamsonm"
"62","37123","Montgomery",  2572, 14, 14, 1310,  412,  373,  119,   46,   62,  141,   29,   25,   10,    6,   16,    8,    3,    7,    5
"63","37125","Moore",  9909, 26, 26, 4860, 1595, 1824,  777,  334,  231,  146,   42,   44,   18,   17,    8,    2,    1,    2,    8
"64","37127","Nash", 12010, 28, 28, 6506, 2116, 1998,  474,  137,  228,  299,   66,   63,   28,   22,   23,   15,    5,   12,   18
"65","37129","New Hanover", 33252, 43, 43,12220, 9002, 5128, 3492, 1627,  965,  294,  174,  150,   73,   38,   33,   10,    7,   16,   23
"66","37131","Northampton",  4513, 18, 18, 2650,  494,  504,  126,   46,   83,  388,   23,   89,   20,   18,   32,    9,    8,   11,   12
"67","37133","Onslow",  9373, 24, 24, 4918, 1982, 1165,  599,  199,  137,  182,   60,   36,   27,   18,   18,    4,    4,   12,   12
"68","37135","Orange", 44159, 47, 47,12956,12602, 4537,10199, 1800, 1330,  244,   95,  192,   98,   27,   18,    7,   12,   20,   22
"69","37137","Pamlico",  1723, 10, 10,  933,  212,  272,   81,   52,   57,   63,   11,    9,    5,    6,    3,    5,    3,    6,    5
"70","37139","Pasquotank",  4225, 12, 12, 2393,  649,  626,  182,   88,   96,  107,   22,   17,    8,   20,    7,    1,    0,    5,    4
"71","37141","Pender",  5460, 20, 20, 2495, 1177,  859,  391,  219,  139,   64,   41,   31,    7,    5,   14,    2,    5,    6,    5
"72","37143","Perquimans",  1305,  8,  8,  591,  174,  259,   58,   31,   54,   69,   12,   18,    4,    1,    5,   20,    2,    3,    4
"73","37145","Person",  4542, 11, 11, 2320,  773,  654,  291,   79,  106,  175,   42,   49,   12,    9,   12,    6,    3,    6,    5
"74","37147","Pitt", 21188, 40, 40,10211, 5000, 2619, 1537,  601,  453,  372,  116,   92,   47,   38,   31,    8,   13,   27,   23
"75","37149","Polk",  2535,  7,  7, 1063,  519,  297,  281,  130,  106,    9,   96,   17,    3,    2,    2,    5,    0,    3,    2
"76","37151","Randolph",  6743, 22, 22, 2778, 1721, 1077,  496,  221,  171,  130,   33,   44,   21,   15,   11,   11,    6,    4,    4
"77","37153","Richmond",  4904, 18, 18, 2639,  692,  691,  174,   72,   85,  355,   58,   44,   20,   17,   15,   15,    3,   14,   10
"78","37155","Robeson", 14603, 39, 39, 6361, 2366, 1376,  534,  135,  261, 2165,  855,  154,   63,   77,   76,   50,   24,   60,   46
"79","37157","Rockingham",  7671, 15, 15, 3545, 1491, 1547,  353,  163,  171,  214,   44,   57,   15,   17,   15,   13,    5,   12,    9
"80","37159","Rowan", 10339, 41, 41, 4776, 2379, 1501,  655,  292,  226,  228,  102,   59,   25,   26,   21,   13,   11,   14,   11
"81","37161","Rutherford",  4553, 17, 17, 2145, 1137,  400,  273,   98,  104,  119,  198,   37,   10,    3,    9,    5,    1,    6,    8
"82","37163","Sampson",  5109, 27, 27, 2829,  861,  817,  213,   53,   62,  148,   27,   26,   11,   14,   20,    5,    5,    9,    9
"83","37165","Scotland",  3743, 12, 12, 2068,  525,  325,  153,   65,   95,  192,  212,   43,   13,   17,    8,   11,    4,    5,    7
"84","37167","Stanly",  3689, 23, 23, 1757,  719,  532,  220,  101,   89,  128,   58,   34,   14,    9,    2,    9,    2,    8,    7
"85","37169","Stokes",  3002, 24, 24, 1211,  671,  533,  174,   92,   74,  158,   38,   21,    4,    5,    6,    3,    2,    6,    4
"86","37171","Surry",  4649,  5,  5, 1941, 1003,  822,  302,  119,  147,  172,   42,   37,   14,    8,   14,   12,    6,    5,    5
"87","37173","Swain",  1591,  5,  5,  552,  468,  160,  111,   63,   58,   55,   82,   21,    5,    3,    2,    4,    2,    4,    1
"88","37175","Transylvania",  5239, 15, 15, 1879, 1276,  549,  685,  296,  303,   49,  148,   33,    7,    0,    6,    2,    0,    1,    5
"89","37177","Tyrrell",   550,  6,  6,  217,   88,   97,   21,   15,   20,   69,    4,    7,    2,    0,    6,    2,    1,    1,    0
"90","37179","Union", 20349, 52, 52, 9053, 4534, 3056, 1748,  836,  503,  206,  157,  103,   41,   31,   23,   11,    9,   19,   19
"91","37181","Vance",  5642,  7,  7, 3340,  793,  764,  217,   58,   87,  211,   36,   46,   12,   21,   20,    7,    8,   11,   11
"92","37183","Wake",192576,203,203,78225,49980,23361,27511, 6764, 3724,  753,  505,  807,  398,  174,  117,   34,   51,   88,   84
"93","37185","Warren",  4644, 14, 14, 2258,  598,  557,  158,   98,  146,  210,  100,   90,   88,   46,   38,   69,   84,   38,   66
"94","37187","Washington",  1929,  8,  8, 1078,  291,  268,   56,   13,   43,   98,   37,   12,    6,    4,    4,    6,    3,    4,    6
"95","37189","Watauga",  9628, 25, 25, 2236, 4516,  704, 1303,  469,  240,   26,   48,   37,   24,    8,    3,    2,    1,    7,    4
"96","37191","Wayne", 11582, 30, 30, 5752, 2329, 1668,  490,  206,  196,  554,  115,   76,   32,   55,   39,   12,   11,   18,   29
"97","37193","Wilkes",  3954, 28, 28, 1780,  868,  632,  246,   87,   84,  180,   22,   18,    6,    7,    7,    3,    4,    7,    3
"98","37195","Wilson",  9712, 25, 25, 5052, 1927, 1545,  409,  143,  149,  224,   61,   61,   26,   25,   34,   13,   14,   19,   10
"99","37197","Yadkin",  1861, 12, 12,  779,  451,  300,  118,   45,   50,   78,   13,   15,    1,    2,    4,    2,    0,    1,    2
"100","37199","Yancey",  2416, 11, 11,  842,  699,  206,  314,   79,   77,   77,   75,   27,    3,    2,    4,    5,    0,    4,    2
