"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.gabbardt","results.warrene","results.uncommitted","votes_align1","results_align1.bidenj","results_align1.sandersb","results_align1.warrene","results_align1.gabbardt","results_align1.uncommitted"
"1","congressional-district-1","Congressional District 1",21229,1,1,16474, 4755,    0,    0,    0,22197,15234, 3779, 1771,  318, 1095
"2","congressional-district-2","Congressional District 2",40251,1,1,30588, 9663,    0,    0,    0,41434,28504, 7724, 3319,  473, 1414
"3","congressional-district-3","Congressional District 3",50921,1,1,39911,11010,    0,    0,    0,51597,37460, 8614, 4229,  423,  871
"4","congressional-district-4","Congressional District 4",30782,1,1,23068, 7714,    0,    0,    0,31645,21631, 6438, 2199,  390,  987
