"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bloombergm","results.warrene","results.buttigiegp","results.klobuchara","results.steyert","results.bookerc","results.castroj","results.de_la_fuente_iiir","results.wellsr","results.gabbardt","results.yanga","results.bennetm","results.williamsonm","results.delaneyj","results.patrickd"
"184","48367","Parker",  5292, 38, 38,  2045,  1344,   801,   540,   265,   181,    41,     4,     7,     7,     4,    13,    10,     2,     7,    21,     0
"185","48369","Parmer",   114, 10, 10,    48,    31,    19,     8,     0,     2,     2,     0,     3,     0,     0,     1,     0,     0,     0,     0,     0
"186","48371","Pecos",   867, 10, 10,   222,   218,   219,    60,    39,    14,    10,     8,    27,    14,     5,     8,     7,     6,     3,     5,     2
"187","48373","Polk",  1588, 24, 24,   559,   325,   306,   173,   104,    72,    28,     0,     2,     1,     2,     6,     2,     1,     3,     3,     1
"188","48375","Potter",  3490, 17, 17,  1206,  1052,   517,   305,   184,    85,    38,     7,    27,     9,     3,    13,    15,    12,     8,     8,     1
"189","48377","Presidio",  1008,  8,  8,   173,   415,   132,   103,    20,    22,    10,     5,    53,    26,     4,     5,     5,    20,     3,    10,     2
"190","48379","Rains",   403,  8,  8,   176,    69,    80,    26,    13,    13,     7,     3,     2,     2,     0,     4,     1,     5,     1,     1,     0
"191","48381","Randall",  4713, 14, 14,  1581,  1407,   623,   575,   266,   124,    48,     3,    14,     3,     9,    34,    21,     5,     0,     0,     0
"192","48383","Reagan",    27,  5,  5,     9,     7,     8,     0,     3,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
"193","48385","Real",   135,  6,  6,    47,    39,    15,    15,     5,     7,     2,     0,     1,     0,     0,     1,     0,     3,     0,     0,     0
"194","48387","Red River",   532, 20, 20,   272,   114,    83,    26,     9,     9,     8,     2,     2,     0,     0,     1,     3,     1,     0,     1,     1
"195","48389","Reeves",  1457,  9,  9,   328,   310,   345,    80,    52,    26,    10,    19,   113,    46,    13,    30,    29,    30,     8,     9,     9
"196","48391","Refugio",   447, 11, 11,   158,    67,   127,    25,    18,     4,    10,     3,    12,     2,     0,     2,     2,     5,     9,     3,     0
"197","48393","Roberts",    11,  5,  5,     1,     0,     6,     1,     2,     1,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
"198","48395","Robertson",   902, 16, 16,   475,   158,   158,    41,    24,    18,     6,     6,     1,     1,     0,     2,     3,     4,     1,     4,     0
"199","48397","Rockwall",  5906, 18, 18,  2393,  1501,   785,   618,   306,   164,    52,     8,     8,     2,     2,    22,    34,     7,     1,     0,     3
"200","48399","Runnels",   165, 11, 11,    76,    28,    18,    14,    14,     8,     1,     1,     3,     0,     0,     0,     0,     0,     0,     0,     2
"201","48401","Rusk",  1838, 13, 13,  1016,   282,   326,    93,    36,    31,     8,     1,     5,     4,     5,     8,     5,    13,     1,     3,     1
"202","48403","Sabine",   330,  9,  9,   167,    46,    64,    21,     7,     8,     2,     1,     2,     2,     0,     2,     2,     0,     0,     6,     0
"203","48405","San Augustine",   477, 12, 12,   274,    67,    91,    19,     6,     2,     2,     2,     1,     2,     1,     0,     0,     5,     2,     3,     0
"204","48407","San Jacinto",   866,  8,  8,   456,   169,   125,    57,    21,    12,    12,     0,     0,     1,     1,     2,     4,     1,     3,     1,     1
"205","48409","San Patricio",  4216, 11, 11,  1810,  1071,   645,   329,   102,    74,    19,     8,    75,    23,     4,    20,     8,    15,     0,     5,     8
"206","48411","San Saba",   141,  4,  4,    49,    24,    19,    25,    13,     6,     0,     0,     1,     0,     2,     1,     0,     0,     0,     0,     1
"207","48413","Schleicher",   122,  5,  5,    45,    29,    21,    11,     0,     7,     1,     1,     4,     1,     0,     0,     0,     0,     0,     2,     0
"208","48415","Scurry",   256,  7,  7,    98,    77,    31,    23,    10,     8,     1,     0,     1,     0,     1,     2,     2,     1,     0,     1,     0
"209","48417","Shackelford",    54,  8,  8,    27,    13,     3,     2,     5,     2,     1,     0,     0,     0,     0,     0,     0,     0,     1,     0,     0
"210","48419","Shelby",   455, 15, 15,   261,    80,    72,    19,     4,    11,     2,     1,     0,     0,     0,     0,     0,     4,     0,     1,     0
"211","48421","Sherman",    42,  5,  5,    18,    10,     5,     2,     1,     0,     0,     0,     0,     1,     2,     2,     0,     1,     0,     0,     0
"212","48423","Smith", 11630, 36, 36,  5338,  2615,  1818,   813,   391,   195,    80,    22,    81,     7,     6,    56,    53,    24,   122,     4,     5
"213","48425","Somervell",   316,  4,  4,    94,    93,    56,    36,    13,    11,     4,     1,     3,     0,     2,     2,     1,     0,     0,     0,     0
"214","48427","Starr",  7602, 11, 11,  1048,  3159,  1257,   326,   188,    90,    61,    45,   429,   437,   120,    55,    88,   167,    63,    45,    24
"215","48429","Stephens",   145,  9,  9,    69,    24,    18,    15,     9,     6,     0,     1,     0,     0,     0,     0,     0,     3,     0,     0,     0
"216","48431","Sterling",    18,  4,  4,     5,     7,     1,     2,     0,     3,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
"217","48433","Stonewall",    74,  5,  5,    35,     6,    14,     9,     3,     3,     3,     0,     0,     0,     1,     0,     0,     0,     0,     0,     0
"218","48435","Sutton",    77,  5,  5,    28,    20,    11,    11,     3,     0,     0,     0,     3,     0,     0,     0,     1,     0,     0,     0,     0
"219","48437","Swisher",   204,  5,  5,    94,    23,    50,    20,     2,     3,     2,     1,     3,     0,     1,     0,     0,     1,     1,     2,     1
"220","48439","Tarrant",152676,193,193, 58320, 47059, 18769, 14929,  6172,  2902,   920,   236,   561,    29,   106,   386,   331,  1259,   330,   242,   125
"221","48441","Taylor",  4824, 21, 21,  1925,  1380,   377,   599,   218,   158,    28,    16,    49,     4,     0,    20,    26,     6,     4,    11,     3
"222","48443","Terrell",   172,  5,  5,    36,    23,    28,    11,    11,     9,     3,     2,    16,     9,     2,    13,     4,     1,     0,     2,     2
"223","48445","Terry",   237,  8,  8,    75,    63,    60,    16,     8,     5,     3,     0,     3,     0,     1,     1,     1,     0,     0,     1,     0
"224","48447","Throckmorton",    26,  5,  5,    18,     4,     4,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
"225","48449","Titus",   923, 20, 20,   432,   204,   165,    46,    17,    22,     1,     2,     3,     4,     4,     6,     2,     7,     1,     2,     5
"226","48451","Tom Green",  4456, 20, 20,  1747,  1292,   555,   414,   211,   115,    30,     8,    17,     3,     6,    17,    16,     1,     2,    20,     2
"227","48453","Travis",223233,175,175, 52731, 83803, 18595, 49734, 10381,  5168,   792,   130,   211,    40,    24,   794,   587,   122,    85,    20,    16
"228","48455","Trinity",   572, 21, 21,   260,   101,   117,    35,    21,    14,    10,     1,     2,     0,     3,     0,     4,     1,     0,     3,     0
"229","48457","Tyler",   627, 18, 18,   300,   103,   131,    42,    12,    14,     5,     3,     1,     2,     3,     4,     2,     2,     2,     1,     0
"230","48459","Upshur",  1328, 17, 17,   705,   254,   180,    70,    35,    22,     6,    10,     1,     1,     5,    10,     1,    21,     2,     4,     1
"231","48461","Upton",    94,  5,  5,    19,    28,    23,    13,     1,     1,     2,     3,     2,     0,     0,     0,     0,     0,     2,     0,     0
"232","48463","Uvalde",  2531, 14, 14,   626,   632,   591,   115,    88,    44,    32,     5,   232,    46,     2,    35,    23,    17,     5,    32,     6
"233","48465","Val Verde",  3153, 17, 17,   826,   850,   672,   237,    98,    49,    44,     7,   255,    42,     7,    16,    16,    18,     9,     4,     3
"234","48467","Van Zandt",  2011, 19, 19,   870,   451,   388,   141,    67,    47,    24,     3,     3,     0,     2,     0,     4,     7,     3,     1,     0
"235","48469","Victoria",  3925, 35, 35,  1759,   970,   458,   357,   146,    84,    13,     8,    49,    12,     3,    18,    12,    18,     7,     6,     5
"236","48471","Walker",  2687, 17, 17,  1159,   688,   346,   269,    97,    47,    33,     8,     3,     2,     3,    11,     8,     6,     2,     5,     0
"237","48473","Waller",  2598, 21, 21,  1004,   863,   341,   194,    56,    32,     9,    23,    13,     1,     0,     8,     4,    34,    10,     2,     4
"238","48475","Ward",   397,  9,  9,   112,    98,   111,    24,     3,     4,     5,     1,    16,     7,     3,     2,     2,     5,     1,     1,     2
"239","48477","Washington",  1606, 22, 22,   670,   322,   278,   137,    91,    52,    22,     4,     8,     0,     1,     5,     6,     3,     5,     2,     0
"240","48479","Webb", 26952, 70, 70,  5372,  9446,  5903,  1486,   784,   364,   116,    93,  1369,   839,    83,   247,   238,   347,   137,    94,    34
"241","48481","Wharton",  1466, 11, 11,   606,   360,   299,    80,    32,    30,    18,     5,     7,     6,     5,     1,     6,     3,     2,     5,     1
"242","48483","Wheeler",    67, 11, 11,    31,    14,    13,     3,     2,     3,     0,     0,     0,     0,     0,     1,     0,     0,     0,     0,     0
"243","48485","Wichita",  4500, 25, 25,  1689,  1289,   600,   434,   240,   123,    30,     6,     8,     2,     5,    18,    25,    14,     7,     9,     1
"244","48487","Wilbarger",   282,  4,  4,   120,    59,    45,    18,    13,    14,     0,     0,     1,     0,     1,     0,     1,     1,     2,     7,     0
"245","48489","Willacy",  2990, 11, 11,   680,   900,   680,   131,    68,    67,    28,    12,   113,   117,    15,    43,    47,    51,    21,    11,     6
"246","48491","Williamson", 60677, 59, 59, 18097, 19272,  6811, 10285,  3365,  1777,   333,    44,    92,    17,    15,   308,   158,    36,    27,    29,    11
"247","48493","Wilson",   115, 17, 17,    45,    36,    16,    11,     2,     0,     1,     1,     2,     0,     0,     0,     0,     1,     0,     0,     0
"248","48495","Winkler",    90,  6,  6,    40,    17,    13,    12,     2,     4,     1,     0,     1,     0,     0,     0,     0,     0,     0,     0,     0
"249","48497","Wise",  1824, 26, 26,   641,   486,   333,   155,    86,    52,    38,     2,     6,     1,     1,     8,     3,     4,     6,     2,     0
"250","48499","Wood",  1465, 15, 15,   751,   256,   217,   122,    54,    35,     6,     4,     3,     0,     2,     3,     7,     3,     1,     1,     0
"251","48501","Yoakum",    88,  7,  7,    33,    30,    16,     4,     3,     0,     0,     0,     0,     0,     0,     1,     0,     1,     0,     0,     0
"252","48503","Young",   422,  5,  5,   182,    81,    61,    38,    21,    20,     4,     1,     2,     0,     0,     7,     5,     0,     0,     0,     0
"253","48505","Zapata",  3098,  8,  8,   822,   813,   677,   134,    62,    60,    45,    11,   114,   160,    25,    38,    42,    39,    23,    18,    15
"254","48507","Zavala",  4741,  6,  6,  1026,  1329,  1351,   136,    81,   140,    39,    25,   291,   139,    13,    26,    25,    66,    16,    34,     4
