"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bloombergm","results.warrene","results.buttigiegp","results.klobuchara","results.steyert","results.bookerc","results.castroj","results.de_la_fuente_iiir","results.wellsr","results.gabbardt","results.yanga","results.bennetm","results.williamsonm","results.delaneyj","results.patrickd"
"43","48085","Collin", 84350, 62, 62, 29960, 25548, 11229,  9585,  4496,  2122,   514,    74,    71,    19,    11,   264,   337,    45,    31,    26,    18
"44","48087","Collingsworth",    63,  8,  8,    22,    11,    15,     8,     1,     3,     0,     1,     2,     0,     0,     0,     0,     0,     0,     0,     0
"45","48089","Colorado",   925,  4,  4,   427,   167,   142,    57,    36,    25,    11,     7,     6,     5,     3,     8,     3,     9,     6,     9,     4
"46","48091","Comal", 10013, 28, 28,  3620,  2411,  1393,  1296,   683,   396,    60,    12,    31,     8,     2,    52,    20,     4,     7,    17,     1
"47","48093","Comanche",   397, 12, 12,   145,   102,    84,    26,    12,    12,     7,     0,     4,     1,     1,     0,     0,     0,     2,     1,     0
"48","48095","Concho",    65,  8,  8,    27,    19,    10,     7,     2,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
"49","48097","Cooke",  1221, 30, 30,   498,   308,   230,    94,    35,    22,    16,     2,     1,     0,     0,     3,     3,     3,     3,     3,     0
"50","48099","Coryell",  2436,  9,  9,   977,   698,   335,   215,    86,    61,     7,    12,     4,     3,     2,    12,    15,     1,     6,     0,     2
"51","48101","Cottle",    61,  5,  5,    20,    18,     8,     6,     3,     0,     1,     2,     1,     1,     0,     0,     0,     0,     0,     1,     0
"52","48103","Crane",    74,  4,  4,    24,    25,    12,     4,     3,     0,     1,     1,     2,     1,     0,     1,     0,     0,     0,     0,     0
"53","48105","Crockett",   313,  5,  5,    84,    77,    42,    26,     6,    19,     6,     1,    18,     3,     1,    14,     4,     2,     5,     4,     1
"54","48107","Crosby",   192,  4,  4,    83,    55,    33,     9,     4,     4,     0,     0,     2,     0,     0,     1,     0,     0,     0,     1,     0
"55","48109","Culberson",   589,  5,  5,   128,   188,   137,    21,    22,     7,     7,     6,    10,    17,     7,    12,    10,     4,     6,     6,     1
"56","48111","Dallam",    67, 10, 10,    20,    26,     9,     3,     5,     0,     0,     1,     1,     1,     1,     0,     0,     0,     0,     0,     0
"57","48113","Dallas",231738,466,466, 93426, 62611, 31419, 22913,  8994,  3414,  2220,  1281,   429,   150,    60,   557,   449,  1821,  1344,   604,    46
"58","48115","Dawson",   332,  5,  5,   101,    71,    89,    19,    13,     0,     3,     3,    10,     5,     0,     1,     3,     2,     1,    11,     0
"59","48123","De Witt",   517,  8,  8,   235,   108,    89,    39,    15,    15,     6,     0,     5,     2,     0,     0,     1,     2,     0,     0,     0
"60","48117","Deaf Smith",   365,  5,  5,   133,    85,    84,    24,     6,     7,     3,     1,     8,     2,     0,     1,     5,     2,     2,     0,     2
"61","48119","Delta",   107,  8,  8,    30,    33,    23,     8,     6,     1,     0,     2,     1,     1,     0,     0,     0,     0,     2,     0,     0
"62","48121","Denton", 67092,186,186, 21936, 22238,  8126,  8343,  3621,  1648,   444,    74,    57,    19,    13,   244,   194,    62,    36,    20,    17
"63","48125","Dickens",    56,  7,  7,    15,     8,    18,    10,     2,     2,     0,     0,     1,     0,     0,     0,     0,     0,     0,     0,     0
"64","48127","Dimmit",  3941,  8,  8,   660,  1159,   907,   145,    93,    47,    66,    10,   347,   198,    24,    31,    50,   146,    21,    25,    12
"65","48129","Donley",    60,  7,  7,    22,    14,    12,     5,     0,     4,     0,     0,     0,     0,     0,     1,     0,     2,     0,     0,     0
"66","48131","Duval",  2301, 10, 10,   511,   820,   505,   109,    56,    41,    30,     2,    54,    82,     8,    21,    18,    20,     6,    14,     4
"67","48133","Eastland",   392, 10, 10,   152,   124,    50,    28,    13,     8,     5,     0,     1,     2,     2,     1,     2,     1,     0,     2,     1
"68","48135","Ector",  3417, 29, 29,  1172,  1017,   570,   344,   102,    56,    23,     8,    35,    16,     1,    12,    12,    16,     5,    27,     1
"69","48137","Edwards",    35,  5,  5,     3,    11,     4,     9,     0,     2,     2,     0,     3,     0,     0,     0,     0,     1,     0,     0,     0
"70","48141","El Paso", 68132,209,209, 19237, 24738, 13994,  4165,  2321,  1125,   217,    88,   589,   211,    77,   368,   222,   303,   133,   259,    85
"71","48139","Ellis",  9701, 36, 36,  4456,  2382,  1393,   745,   309,   162,    81,    42,    36,     9,    12,    24,    22,    10,     7,     2,     9
"72","48143","Erath",  1109, 11, 11,   375,   325,   154,   142,    57,    31,    11,     0,     6,     1,     1,     1,     2,     1,     0,     2,     0
"73","48145","Falls",   725, 14, 14,   349,   139,   156,    43,    11,     4,     3,     3,     0,     2,     0,     3,     1,     1,     2,     8,     0
