"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bloombergm","results.warrene","results.bennetm","results.buttigiegp","results.yanga","results.steyert","results.bookerc","results.gabbardt","results.klobuchara","results.castroj","results.delaneyj","results.williamsonm","results.uncommitted"
"47","01093","Marion",   700, 23, 23,  398,  134,  104,   35,    5,    2,    1,    2,    0,    0,    2,    0,    0,    0,   17
"48","01095","Marshall",  3010, 47, 47, 1581,  777,  364,  190,    5,   17,    5,   15,    1,   16,   20,    1,    2,    0,   16
"49","01097","Mobile", 40348, 88, 88,26923, 6612, 4277, 1585,  203,   90,   53,  137,   82,   73,   47,   10,   27,   22,  207
"50","01099","Monroe",  2456, 76, 76, 1716,  205,  405,   38,   32,    4,    0,   11,   10,    2,    2,    1,    6,    2,   22
"51","01101","Montgomery", 34536, 50, 50,23465, 4502, 4178, 1484,  187,   81,   34,   83,   72,   51,   49,   13,   36,   23,  278
"52","01103","Morgan",  6639, 39, 39, 3954, 1250,  917,  339,   28,   27,   11,   20,    9,   13,   19,    4,    2,    0,   46
"53","01105","Perry",  2793, 15, 15, 2094,  178,  296,   69,   28,    3,    7,   10,   13,    9,    9,    5,    6,    2,   64
"54","01107","Pickens",  2164, 24, 24, 1142,  196,  752,   29,   19,    3,    1,    5,    1,    1,    5,    2,    2,    2,    4
"55","01109","Pike",  2614, 33, 33, 1786,  433,  219,  105,   16,    4,    7,    3,    6,    4,    2,    4,    6,    5,   14
"56","01111","Randolph",  1047, 14, 14,  522,  122,  326,   28,   13,    5,    1,    2,    4,    5,    4,    0,    0,    3,   12
"57","01113","Russell",  4618, 17, 17, 3221,  566,  634,  111,   17,    9,    3,    4,    5,    7,   13,    2,    2,    2,   22
"58","01117","Shelby", 16779, 43, 43, 9543, 3795, 1415, 1672,   31,   75,   37,   21,   13,   59,   36,    5,    3,    3,   71
"59","01115","St. Clair",  3951, 31, 31, 2268,  835,  457,  283,   16,   25,    9,    8,    4,   16,    3,    0,    2,    0,   25
"60","01119","Sumter",  3288, 24, 24, 2012,  289,  706,   57,   34,   11,   13,   16,    9,   10,   10,    4,   12,    1,  104
"61","01121","Talladega",  6680, 26, 26, 4617,  803,  917,  197,   54,   16,   11,    9,   11,    3,    7,    3,    9,    4,   19
"62","01123","Tallapoosa",  2682, 28, 28, 1762,  302,  438,   83,   40,   10,    3,    8,    6,    4,    8,    2,    3,    0,   13
"63","01125","Tuscaloosa", 19623, 54, 54,11825, 3552, 2175, 1684,   83,   54,   30,   22,   15,   54,   26,    8,    8,    3,   84
"64","01127","Walker",  2420, 46, 46, 1390,  538,  260,  136,    6,    9,    6,   16,    7,    4,    6,    6,    4,    2,   30
"65","01129","Washington",  1843, 31, 31, 1109,  156,  246,   37,   37,   11,    9,   12,    2,    9,    7,    3,    5,    3,  197
"66","01131","Wilcox",  3092, 36, 36, 1864,  284,  654,   62,   53,   11,   13,   18,   15,   12,   12,    7,   10,    8,   69
"67","01133","Winston",   508, 19, 19,  266,  117,   75,   32,    1,    5,    1,    1,    1,    1,    2,    0,    1,    0,    5
