"","fips","name","votes","reporting","precincts","results.sandersb","results.bidenj","results.bloombergm","results.warrene","results.gabbardt","results.yanga","results.steyert","results.de_la_fuente_iiir","results.bookerc","results.williamsonm","results.krichevskyr","results.wellsr","results.patrickd","results.buttigiegp","results.klobuchara"
"47","08091","Ouray",  1366,  6,  6,  513,  355,  199,  260,   19,    3,   10,    1,    3,    2,    0,    0,    1,    0,    0
"48","08093","Park",  2547, 14, 14, 1033,  591,  395,  438,   49,   10,   14,    7,    0,    5,    3,    1,    1,    0,    0
"49","08095","Phillips",   257,  8,  8,   69,   73,   70,   26,    5,    2,    3,    3,    2,    2,    2,    0,    0,    0,    0
"50","08097","Pitkin",  4935, 14, 14, 1480, 1330, 1457,  605,   29,   15,   12,    2,    3,    2,    0,    0,    0,    0,    0
"51","08099","Prowers",   751, 10, 14,  227,  200,  188,   92,    9,   12,    4,    5,    8,    2,    1,    3,    0,    0,    0
"52","08101","Pueblo", 24927, 89,129, 7802, 7360, 6335, 2535,  305,  150,  140,  120,   65,   40,   32,   32,   11,    0,    0
"53","08103","Rio Blanco",   265,  4,  5,   81,   73,   58,   49,    2,    0,    1,    0,    0,    1,    0,    0,    0,    0,    0
"54","08105","Rio Grande",  1287, 15, 15,  479,  291,  319,  161,    7,    4,    5,    7,    9,    3,    0,    0,    2,    0,    0
"55","08107","Routt",  5537, 23, 23, 1842, 1486, 1215,  883,   54,   13,   23,    3,    7,    5,    3,    1,    2,    0,    0
"56","08109","Saguache",  1188,  5,  8,  619,  181,  168,  172,   13,    9,    7,    6,    3,    7,    1,    2,    0,    0,    0
"57","08111","San Juan",   200,  1,  1,   86,   34,   31,   38,    4,    2,    1,    2,    2,    0,    0,    0,    0,    0,    0
"58","08113","San Miguel",  2269,  6,  6, 1039,  462,  356,  362,   25,    8,    7,    4,    1,    1,    1,    1,    2,    0,    0
"59","08115","Sedgwick",   180,  6,  6,   57,   41,   40,   25,    6,    2,    3,    0,    2,    0,    3,    1,    0,    0,    0
"60","08117","Summit",  6110, 13, 21, 2260, 1626, 1153,  954,   69,   13,   21,    3,    4,    5,    2,    0,    0,    0,    0
"61","08119","Teller",  2673, 11, 15,  912,  731,  471,  459,   43,   20,   18,    8,    2,    7,    1,    0,    1,    0,    0
"62","08121","Washington",   186,  6,  6,   66,   39,   40,   28,    5,    2,    1,    0,    0,    2,    3,    0,    0,    0,    0
"63","08123","Weld", 30348,140,166,11911, 7304, 5927, 4308,  426,  132,  136,   57,   61,   38,   25,   10,   13,    0,    0
"64","08125","Yuma",   476, 14, 14,  111,  129,  140,   59,   15,    8,    6,    2,    1,    2,    1,    2,    0,    0,    0
