"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bennetm","results.steyert","results.delaneyj","results.yanga","results.bloombergm","results.warrene","results.gabbardt","results.klobuchara","results.buttigiegp","results.patrickd"
"55","13111","Fannin",   928, 12, 12,   803,    60,     2,     1,     0,     6,    14,    15,     5,    10,    12,     0
"56","13113","Fayette", 14757, 36, 36, 13015,  1166,    25,     7,     8,    93,    80,   184,    39,    50,    85,     5
"57","13115","Floyd",  4291, 25, 25,  3589,   429,    16,     6,    10,    36,    32,    88,    14,    30,    35,     6
"58","13117","Forsyth", 10108, 20, 20,  8107,  1273,    35,     4,     8,   115,    85,   219,    94,    49,   116,     3
"59","13119","Franklin",   562,  7,  7,   470,    52,     3,     8,     4,     4,     1,     9,     6,     3,     2,     0
"60","13121","Fulton",145684,366,366,121881, 14731,   427,    89,   111,  1328,   930,  3876,   456,   581,  1152,   122
"61","13123","Gilmer",  1081, 13, 13,   935,    93,     1,     2,     1,     3,     8,    19,     2,    14,     3,     0
"62","13125","Glascock",    64,  4,  4,    51,     7,     0,     3,     0,     0,     1,     2,     0,     0,     0,     0
"63","13127","Glynn",  5500, 20, 20,  4822,   392,    21,     5,     7,    26,    52,    93,    12,    32,    33,     5
"64","13129","Gordon",  1503, 12, 12,  1229,   183,     7,     1,     2,    11,    24,    25,     1,     8,    11,     1
"65","13131","Grady",  1366, 13, 13,  1217,    84,    11,     1,     6,     3,    13,    19,     3,     3,     4,     2
"66","13133","Greene",  1764,  5,  5,  1571,   104,    12,     1,     4,    16,    19,    18,     4,     9,     5,     1
"67","13135","Gwinnett",100060,159,159, 84083, 11032,   339,    74,    76,   891,   676,  1646,   307,   320,   527,    89
"68","13137","Habersham",  1200,  7,  7,   983,   143,     7,     1,     1,     8,    10,    24,     3,     6,    12,     2
"69","13139","Hall",  5919, 31, 31,  4719,   812,    28,     8,    11,    62,    43,   121,    27,    28,    55,     5
"70","13141","Hancock",  1907, 10, 10,  1570,   146,    44,     8,     6,    23,    34,    41,     6,    15,     8,     6
"71","13143","Haralson",   686, 12, 12,   544,    97,     5,     1,     5,     3,     9,    12,     0,     5,     5,     0
"72","13145","Harris",  2451, 12, 12,  2134,   193,     9,     4,     5,    15,    19,    29,     7,    12,    22,     2
"73","13147","Hart",  1086,  7,  7,   934,    79,    13,    10,     3,     5,    14,    16,     3,     3,     4,     2
"74","13149","Heard",   442,  6,  6,   350,    54,     6,     1,     0,     2,    12,    13,     0,     2,     2,     0
"75","13151","Henry", 34282, 37, 37, 30831,  2339,   134,    30,    33,   198,   179,   307,    70,    59,    73,    29
"76","13153","Houston", 13087, 16, 16, 11709,   887,    58,     6,    13,    74,    63,   142,    29,    38,    57,    11
"77","13155","Irwin",   590,  3,  3,   462,    57,    15,     2,    10,    16,     8,     9,     4,     1,     3,     3
"78","13157","Jackson",  2671,  4,  4,  2182,   313,    11,     4,     2,    25,    23,    47,    10,    19,    34,     1
"79","13159","Jasper",   853,  3,  3,   750,    53,    10,     0,     1,     8,     8,    15,     1,     4,     3,     0
"80","13161","Jeff Davis",   421,  9,  9,   365,    30,     4,     6,     2,     5,     3,     2,     1,     2,     1,     0
"81","13163","Jefferson",  2752,  8,  8,  2111,   200,    53,    68,    22,    71,    36,    56,    74,    31,    23,     7
"82","13165","Jenkins",   967,  5,  5,   631,   105,    36,    39,     6,    41,    24,    27,    21,    12,    14,    11
"83","13167","Johnson",   525,  4,  4,   431,    48,     5,     2,     3,     5,    11,    15,     2,     3,     0,     0
"84","13169","Jones",  1046, 10, 10,   930,    71,     8,     0,     1,     8,    10,     6,     1,     5,     4,     2
"85","13171","Lamar",  1396,  6,  6,  1242,    90,     9,     0,     6,     5,    17,    11,     4,     5,     3,     4
"86","13173","Lanier",   350,  1,  1,   311,    19,     5,     0,     3,     2,     3,     4,     0,     1,     2,     0
"87","13175","Laurens",  2584, 16, 16,  2272,   166,    22,     6,    15,    24,    25,    36,     3,     3,     9,     3
"88","13177","Lee",  1994, 10, 10,  1792,   128,    15,     3,     4,    10,     9,    19,     5,     1,     8,     0
"89","13179","Liberty",  5422, 13, 13,  4532,   351,    31,    86,    22,   120,    64,    65,    70,    44,    30,     7
"90","13181","Lincoln",   670,  7,  7,   595,    32,     9,     6,     3,     4,     4,     8,     2,     2,     5,     0
"91","13183","Long",   696,  7,  7,   594,    53,     3,    10,     3,     6,     5,    11,     5,     5,     1,     0
"92","13185","Lowndes",  5663, 11, 11,  4912,   511,    31,     4,     5,    32,    39,    75,     8,    17,    24,     5
"93","13187","Lumpkin",  1056,  1,  1,   827,   138,     3,     2,     2,    10,    11,    45,     5,     3,    10,     0
"94","13193","Macon",  1432,  5,  5,  1226,    84,    23,     4,     5,    16,    13,    24,    18,     8,     9,     2
"95","13195","Madison",  1375, 12, 12,  1090,   189,     8,     2,     3,     9,    13,    32,     7,    11,    10,     1
"96","13197","Marion",   668,  5,  5,   590,    31,    10,     2,     4,    12,     7,     7,     1,     1,     2,     1
"97","13189","McDuffie",  1485,  9,  9,  1321,    98,    10,    18,     0,     3,     7,    15,     1,    10,     2,     0
"98","13191","McIntosh",  1385,  6,  6,  1213,    92,    10,    10,     5,     9,    11,    22,     2,     7,     3,     1
