"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bloombergm","results.gabbardt","results.warrene","results.yanga","results.buttigiegp","results.klobuchara","results.steyert","results.patrickd"
"53","28105","Oktibbeha", 4420, 20, 20, 3335,  889,  101,   24,   38,   11,   11,    6,    5,    0
"54","28107","Panola", 3744, 21, 21, 3084,  429,  158,   11,   19,    8,    6,    9,   16,    4
"55","28109","Pearl River", 1664, 26, 26, 1236,  349,   30,   15,   14,    5,    5,    2,    5,    3
"56","28111","Perry",  626, 15, 15,  510,   79,   29,    0,    0,    2,    0,    2,    2,    2
"57","28113","Pike", 4227, 25, 25, 3456,  566,  131,   13,   23,    5,   14,    5,    6,    8
"58","28115","Pontotoc", 1251, 28, 28,  954,  221,   38,   11,    8,    2,    8,    3,    4,    2
"59","28117","Prentiss", 1108, 15, 15,  899,  148,   24,    9,   12,    3,    5,    5,    1,    2
"60","28119","Quitman", 1148, 10, 10,  911,  139,   63,    3,    7,    8,    1,    5,    7,    4
"61","28121","Rankin", 9534, 48, 48, 7568, 1732,  115,   37,   36,   11,   14,   11,    8,    2
"62","28123","Scott", 2527, 23, 23, 2067,  335,   72,    7,   14,    5,    3,    1,   11,   12
"63","28125","Sharkey",  907, 10, 10,  747,  107,   36,    5,    4,    2,    2,    2,    1,    1
"64","28127","Simpson", 2296, 23, 23, 1893,  320,   50,    6,   12,    2,    3,    2,    3,    5
"65","28129","Smith",  975, 18, 18,  791,  128,   41,    3,    5,    1,    2,    2,    2,    0
"66","28131","Stone",  847, 15, 15,  678,  133,   23,    1,    3,    2,    1,    1,    3,    2
"67","28133","Sunflower", 3188, 17, 17, 2643,  371,  108,   22,   15,    2,    6,    9,    7,    5
"68","28135","Tallahatchie", 1733, 21, 21, 1367,  213,   99,   14,   11,    8,    5,    7,    5,    4
"69","28137","Tate", 1811, 20, 20, 1453,  259,   63,    7,   12,    1,    0,   11,    3,    2
"70","28139","Tippah",  848, 24, 24,  683,  119,   28,    1,    7,    1,    5,    0,    2,    2
"71","28141","Tishomingo",  565, 14, 14,  402,  132,   12,    4,    5,    4,    1,    3,    2,    0
"72","28143","Tunica",  955, 12, 12,  769,  135,   35,    4,    3,    0,    4,    1,    1,    3
"73","28145","Union",  977, 20, 20,  753,  170,   39,    7,    2,    2,    2,    1,    1,    0
"74","28147","Walthall", 1415, 20, 20, 1203,  141,   49,    5,    8,    2,    3,    2,    1,    1
"75","28149","Warren", 5362, 23, 23, 4362,  793,  116,   28,   33,   10,   12,    3,    2,    3
"76","28151","Washington", 5272, 19, 19, 4506,  562,  150,   21,   14,    5,    4,    5,    3,    2
"77","28153","Wayne", 2014, 22, 22, 1682,  210,   86,    4,   11,    4,    7,    4,    2,    4
"78","28155","Webster",  566, 17, 17,  451,   72,   26,    3,    2,    2,    3,    3,    0,    4
"79","28157","Wilkinson", 1244,  9,  9, 1037,  141,   42,    0,   11,    3,    2,    3,    4,    1
"80","28159","Winston", 2135, 12, 12, 1800,  223,   76,    5,   13,    5,    2,    4,    6,    1
"81","28161","Yalobusha", 1575, 12, 12, 1237,  226,   71,    9,    6,    5,    3,    5,    6,    7
"82","28163","Yazoo", 2920, 23, 23, 2398,  378,  103,    6,   18,    2,    7,    1,    5,    2
