"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bloombergm","results.warrene","results.gabbardt","results.buttigiegp","results.klobuchara","results.bennetm","results.bookerc","results.steyert","results.williamsonm","results.yanga","results.castroj","results.patrickd"
"48","51640","Galax",   328,  4,  4,   173,    82,    39,    20,     6,     4,     0,     0,     1,     0,     0,     0,     2,     1
"49","51071","Giles",  1144, 10, 10,   541,   332,    97,   113,    25,     7,     7,     1,     3,     5,     1,     8,     2,     2
"50","51073","Gloucester",  4005, 12, 12,  2165,   912,   411,   354,    52,    36,    24,     9,     7,     9,     8,    12,     4,     2
"51","51075","Goochland",  4107, 11, 11,  2508,   689,   480,   312,    33,    28,    26,     5,     6,     9,     4,     5,     2,     0
"52","51077","Grayson",   785, 16, 16,   425,   182,    60,    76,    13,    11,    10,     0,     0,     4,     1,     3,     0,     0
"53","51079","Greene",  1969,  6,  6,   915,   524,   190,   252,    31,    25,    17,     2,     3,     2,     2,     5,     1,     0
"54","51081","Greensville",  1114,  9,  9,   826,   144,    90,    24,     5,     5,     2,     5,     4,     4,     1,     3,     1,     0
"55","51083","Halifax",  3183, 21, 21,  2324,   465,   226,    95,     8,    12,    17,     8,     8,     6,     5,     3,     2,     4
"56","51650","Hampton", 23846, 31, 31, 15732,  4333,  1965,  1296,   143,    79,    66,    36,    67,    36,    16,    49,    15,    13
"57","51085","Hanover", 15365, 37, 37,  8323,  3489,  1314,  1643,   225,   112,   119,    18,    24,    21,    21,    41,     9,     6
"58","51660","Harrisonburg",  6480,  9,  9,  2090,  2590,   248,  1386,    50,    40,    37,     6,     7,     6,     1,    15,     3,     1
"59","51087","Henrico", 65840, 92, 92, 37655, 14557,  5845,  6260,   404,   367,   285,    69,    96,    94,    36,   127,    28,    17
"60","51089","Henry",  3900, 25, 25,  2697,   635,   298,   143,    44,    27,    17,     5,    10,     7,     2,     9,     5,     1
"61","51091","Highland",   283,  6,  6,   146,    74,    10,    38,     4,     5,     4,     0,     0,     0,     0,     2,     0,     0
"62","51670","Hopewell",  2254,  8,  8,  1444,   350,   182,   184,    14,    15,     9,     7,    11,     6,    25,     4,     3,     0
"63","51093","Isle of Wight",  5324, 15, 15,  3481,   917,   477,   287,    65,    25,    26,     7,    14,     8,     5,    10,     1,     1
"64","51095","James City", 15849, 20, 20,  9147,  2572,  1986,  1577,   168,   174,   141,    10,    13,    22,     7,    23,     3,     6
"65","51099","King George",  2628,  6,  6,  1451,   565,   263,   236,    50,    28,    20,     0,     4,     1,     1,     8,     0,     1
"66","51101","King William",  1731,  7,  7,  1049,   330,   175,   112,    12,     7,    12,     5,     3,     8,     4,     9,     0,     5
"67","51097","King and Queen",   821,  6,  6,   551,   136,    66,    47,     8,     3,     3,     0,     3,     0,     3,     1,     0,     0
"68","51103","Lancaster",  1877,  7,  7,  1212,   240,   253,    95,    12,    27,    21,     2,     4,     4,     1,     1,     3,     2
"69","51105","Lee",   508, 17, 17,   308,   121,    31,    26,     3,     2,     6,     4,     2,     4,     1,     0,     0,     0
"70","51678","Lexington",  1192,  2,  2,   565,   227,   106,   263,     4,    17,     6,     1,     0,     0,     1,     1,     0,     1
"71","51107","Loudoun", 71632, 99, 99, 36209, 18087,  8028,  7190,   625,   639,   353,    69,    68,    49,    37,   225,    38,    15
"72","51109","Louisa",  4426, 16, 16,  2521,   896,   457,   385,    64,    26,    34,     5,     9,     7,     8,     9,     2,     3
"73","51111","Lunenburg",  1219, 12, 12,   874,   171,    94,    53,     2,     4,     9,     1,     4,     3,     0,     3,     1,     0
"74","51680","Lynchburg",  8491, 19, 19,  4836,  1806,   773,   785,   105,    40,    47,    17,    19,    12,     6,    36,     7,     2
"75","51113","Madison",  1427, 10, 10,   755,   308,   156,   151,    20,    12,    17,     2,     1,     1,     1,     2,     1,     0
"76","51683","Manassas",  4958,  7,  7,  2321,  1438,   510,   507,    45,    48,    41,     8,     6,     6,     2,    20,     5,     1
"77","51685","Manassas Park",  1722,  4,  4,   765,   592,   140,   159,     5,    24,    13,     2,     7,     3,     2,     8,     1,     1
"78","51690","Martinsville",  1650,  7,  7,  1117,   267,   178,    54,    10,     4,     8,     2,     2,     3,     0,     4,     1,     0
"79","51115","Mathews",  1093,  4,  4,   608,   211,   133,    89,    13,    15,     9,     4,     3,     1,     0,     5,     0,     2
"80","51117","Mecklenburg",  3190, 24, 24,  2111,   491,   292,   166,    34,    20,    28,     8,    14,     4,     9,     7,     4,     2
"81","51119","Middlesex",  1405,  7,  7,   863,   255,   149,    89,    12,    12,    14,     2,     3,     1,     1,     0,     2,     2
"82","51121","Montgomery", 14336, 25, 25,  5560,  5092,   866,  2392,   137,   111,    94,     9,     9,    18,     7,    38,     1,     2
"83","51125","Nelson",  2528, 10, 10,  1339,   560,   239,   303,    28,    28,    17,     2,     3,     3,     4,     1,     1,     0
"84","51127","New Kent",  2647, 11, 11,  1583,   477,   277,   211,    34,    19,    15,     5,     7,     3,     2,    12,     2,     0
"85","51700","Newport News", 25434, 46, 46, 15602,  5279,  2252,  1638,   185,   131,   111,    45,    52,    41,    14,    60,    13,    11
"86","51710","Norfolk", 33606, 49, 49, 18856,  8102,  3058,  2736,   246,   211,   137,    38,    70,    33,    25,    70,    21,     3
"87","51131","Northampton",  1801,  6,  6,  1150,   284,   227,    83,     9,    18,    17,     3,     4,     3,     1,     2,     0,     0
"88","51133","Northumberland",  1605,  6,  6,  1061,   178,   203,    90,    20,    14,    25,     5,     3,     2,     0,     4,     0,     0
"89","51720","Norton",   156,  1,  1,    74,    52,    10,    13,     4,     0,     2,     1,     0,     0,     0,     0,     0,     0
"90","51135","Nottoway",  1357, 10, 10,   884,   233,   119,    72,    10,    10,    13,     4,     3,     2,     3,     3,     1,     0
"91","51137","Orange",  4167, 11, 11,  2222,   911,   479,   379,    47,    36,    53,     9,     4,     7,     7,     8,     3,     2
"92","51139","Page",  1325,  6,  6,   693,   325,   128,   116,    21,    15,    16,     0,     2,     0,     2,     5,     2,     0
"93","51141","Patrick",  1084, 14, 14,   550,   252,   121,    87,    20,    13,    12,     2,     7,     6,     3,     6,     3,     2
"94","51730","Petersburg",  5336,  8,  8,  3927,   717,   437,   190,     9,    14,    12,     6,     8,     5,     3,     4,     3,     1
"95","51143","Pittsylvania",  5115, 30, 30,  3471,   815,   416,   187,    38,    14,    33,    14,    73,    21,     8,    17,     4,     4
"96","51735","Poquoson",  1335,  4,  4,   631,   355,   144,   111,    39,    15,    20,     1,     2,     4,     2,     4,     3,     4
"97","51740","Portsmouth", 15435, 32, 32, 10186,  2751,  1431,   745,    76,    57,    51,    29,    41,    22,    13,    24,     6,     3
"98","51145","Powhatan",  3222, 13, 13,  1812,   699,   324,   272,    47,    29,    23,     1,     1,     3,     1,     7,     3,     0
"99","51147","Prince Edward",  2287, 11, 11,  1453,   349,   189,   230,    16,    15,    10,     5,     8,     3,     3,     4,     1,     1
"100","51149","Prince George",  3564, 11, 11,  2418,   636,   245,   169,    31,    13,    14,     5,    11,     4,     5,     8,     3,     2
"101","51153","Prince William", 70993, 94, 94, 37358, 18355,  7003,  5705,   564,   516,   374,   373,    94,   104,    41,   197,   292,    17
"102","51155","Pulaski",  2317, 13, 13,  1218,   585,   245,   192,    29,    17,    10,     3,     2,     2,     3,     8,     2,     1
"103","51750","Radford",  1791,  5,  5,   705,   654,   124,   240,    24,    19,    12,     3,     1,     2,     1,     5,     1,     0
"104","51157","Rappahannock",  1331,  7,  7,   676,   330,   133,   124,    14,    24,    21,     3,     1,     1,     2,     1,     0,     1
"105","51159","Richmond",   634,  6,  6,   444,    81,    54,    40,     8,     3,     1,     0,     0,     0,     2,     0,     1,     0
"106","51760","Richmond City", 57044, 70, 70, 24355, 18995,  5339,  7416,   255,   230,   154,    53,    61,    32,    35,    92,    15,    12
"107","51161","Roanoke", 11385, 34, 34,  6008,  2725,  1147,  1142,   145,    75,    59,     9,    12,    18,    15,    20,     6,     4
"108","51770","Roanoke City", 13299, 21, 21,  6820,  3483,  1159,  1510,    77,    97,    62,    19,    20,    16,     5,    25,     1,     5
"109","51163","Rockbridge",  2825, 18, 18,  1568,   533,   311,   320,    25,    29,    33,     1,     1,     1,     0,     3,     0,     0
"110","51165","Rockingham",  7075, 32, 32,  3401,  1924,   445,  1022,   106,    52,    65,     2,     7,    15,     7,    25,     4,     0
"111","51167","Russell",   990, 16, 16,   541,   291,    64,    45,    10,     5,    11,     3,     7,     6,     2,     1,     1,     3
"112","51775","Salem",  2604, 11, 11,  1312,   688,   238,   275,    21,    17,    16,     4,     2,    12,     6,    11,     1,     1
"113","51169","Scott",   626, 18, 18,   324,   201,    37,    38,     7,     4,     5,     0,     0,     6,     0,     1,     2,     1
"114","51171","Shenandoah",  3381, 13, 13,  1703,   880,   312,   346,    41,    24,    30,     5,     8,     9,     4,    14,     4,     1
"115","51173","Smyth",  1179, 15, 15,   629,   315,    85,    80,    18,    12,     7,     2,     8,     8,     3,     6,     4,     2
"116","51175","Southampton",  1932, 14, 14,  1325,   277,   196,    73,     9,    16,    12,     5,     4,     3,     4,     4,     4,     0
"117","51177","Spotsylvania", 16937, 27, 27,  9243,  3999,  1729,  1326,   198,   151,   117,    21,    40,    26,    20,    49,     8,    10
"118","51179","Stafford", 21230, 28, 28, 11611,  5087,  2013,  1724,   307,   162,   122,    25,    36,    25,    21,    78,    15,     4
"119","51790","Staunton",  4088,  6,  6,  1754,  1189,   246,   715,    47,    43,    59,     1,     6,    11,     3,    11,     3,     0
"120","51800","Suffolk", 14825, 28, 28, 10311,  2223,  1241,   704,   117,    53,    55,    23,    33,    15,    11,    32,     4,     3
"121","51181","Surry",  1363,  7,  7,   977,   207,   103,    49,     7,     1,     7,     6,     0,     1,     2,     1,     2,     0
"122","51183","Sussex",  1308, 12, 12,  1013,   146,    95,    21,     2,     7,     6,     4,     5,     2,     2,     2,     1,     2
"123","51185","Tazewell",  1452, 21, 21,   749,   403,    95,    91,    34,    18,    19,    10,     9,    11,     3,     7,     2,     1
"124","51810","Virginia Beach", 61057,101,101, 33515, 14610,  6463,  4468,   716,   458,   339,    62,    85,    97,    34,   157,    33,    20
"125","51187","Warren",  3312, 12, 12,  1583,   900,   334,   344,    58,    32,    14,     8,    12,     6,     8,    12,     0,     1
"126","51191","Washington",  3109, 20, 20,  1600,   819,   258,   311,    30,    37,    20,     1,     6,    10,     3,    12,     1,     1
"127","51820","Waynesboro",  2745,  5,  5,  1320,   778,   203,   321,    34,    24,    25,     7,     9,     8,     4,    10,     1,     1
"128","51193","Westmoreland",  2191,  9,  9,  1436,   345,   246,   105,    28,     5,    11,     3,     2,     1,     3,     3,     2,     1
"129","51830","Williamsburg",  3563,  3,  3,  1434,  1131,   281,   625,    21,    30,    18,     4,     2,     4,     5,     7,     0,     1
"130","51840","Winchester",  3510,  7,  7,  1666,   977,   320,   413,    26,    38,    38,     6,     5,     2,     2,    13,     3,     1
"131","51195","Wise",  1244, 13, 13,   544,   469,    69,   113,    12,    13,    13,     3,     2,     3,     0,     2,     1,     0
"132","51197","Wythe",  1385, 12, 12,   653,   424,   114,   134,    13,    17,    14,     2,     2,     4,     2,     5,     0,     1
"133","51199","York",  9985, 14, 14,  5637,  2005,  1003,   933,   137,   102,    74,     8,    16,    16,    15,    33,     4,     2
