"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.buttigiegp","results.warrene","results.bloombergm","results.gabbardt","results.steyert","results.bookerc","results.yanga","results.bennetm","results.delaneyj","results.patrickd","results.klobuchara"
"52","17103","Lee",  2482,  49,  49,  1459,   857,    51,    42,    43,    15,     4,     2,     6,     2,     0,     1,     0
"53","17105","Livingston",  1756,  46,  46,  1134,   526,    28,    25,    26,     7,     5,     1,     1,     1,     1,     1,     0
"54","17107","Logan",  1239,  29,  29,   731,   427,    16,    20,    28,     9,     2,     1,     3,     2,     0,     0,     0
"55","17115","Macon",  7590,  72,  72,  4916,  2265,    69,    97,   161,    33,     7,    13,     9,     9,     4,     7,     0
"56","17117","Macoupin",  3841,  61,  61,  2428,  1043,    57,    66,   133,    34,    19,    16,    18,    13,    10,     4,     0
"57","17119","Madison", 25390, 225, 225, 15587,  8583,   137,   340,   386,   165,    29,    54,    48,    16,    32,    13,     0
"58","17121","Marion",  2613,  48,  48,  1643,   699,    29,    53,    79,     6,    17,    39,    24,     8,    11,     5,     0
"59","17123","Marshall",   730,  14,  14,   483,   199,     9,    11,    16,     2,     2,     2,     2,     2,     0,     2,     0
"60","17125","Mason",  1159,  21,  21,   785,   274,    17,    12,    32,    14,     8,     6,     4,     3,     2,     2,     0
"61","17127","Massac",   707,  17,  17,   461,   226,     5,     3,     5,     2,     2,     1,     1,     1,     0,     0,     0
"62","17109","McDonough",  2143,  31,  31,  1281,   711,    26,    65,    24,    10,     8,     6,     5,     0,     4,     3,     0
"63","17111","McHenry", 30716, 212, 212, 18426, 11033,   197,   429,   425,   107,    16,    12,    48,     9,     9,     5,     0
"64","17113","McLean", 18550, 122, 122,  9779,  7550,   272,   465,   307,    94,    10,    11,    42,     9,     7,     4,     0
"65","17129","Menard",   745,  14,  14,   519,   193,     8,    10,     8,     4,     1,     1,     0,     1,     0,     0,     0
"66","17131","Mercer",  1351,  24,  24,   911,   362,    24,    18,     8,     7,    10,     1,     9,     1,     0,     0,     0
"67","17133","Monroe",  2471,  37,  37,  1555,   778,    28,    37,    50,     9,     5,     3,     4,     1,     1,     0,     0
"68","17135","Montgomery",  1684,  38,  38,  1147,   418,    14,    24,    57,     6,     1,     6,     6,     0,     2,     3,     0
"69","17137","Morgan",  1847,  40,  40,  1153,   602,    13,    20,    35,     8,     4,     1,     3,     1,     4,     3,     0
"70","17139","Moultrie",   778,  16,  16,   516,   207,     7,     6,    25,     3,     3,     4,     4,     2,     0,     1,     0
"71","17141","Ogle",  3917,  52,  52,  2274,  1468,    35,    51,    62,    11,     1,     2,     6,     3,     3,     1,     0
"72","17143","Peoria", 18415, 169, 169, 11492,  5779,   180,   275,   393,   116,    28,    53,    62,    11,    10,    16,     0
"73","17145","Perry",  1322,  27,  27,   909,   327,     9,    21,    26,     6,     6,     9,     4,     2,     2,     1,     0
"74","17147","Piatt",  1281,  16,  16,   800,   408,    15,    21,    20,     9,     0,     5,     1,     0,     2,     0,     0
"75","17149","Pike",   781,  31,  31,   547,   167,    14,    14,    13,    12,     4,     4,     0,     3,     1,     2,     0
"76","17151","Pope",   222,   6,   6,   135,    71,     2,     2,     6,     3,     0,     1,     0,     2,     0,     0,     0
