"","fips","name","votes","reporting","precincts","results.sandersb","results.bidenj","results.warrene","results.bloombergm","results.buttigiegp","results.klobuchara","results.steyert","results.yanga","results.gabbardt","results.bookerc","results.ellingerm","results.castroj","results.delaneyj","results.williamsonm","results.bennetm","results.greensteinm","results.de_la_fuente_iiir","results.sestakj","results.patrickd","results.boydm"
"36","06071","San Bernardino", 186729,2256,2256, 73417, 59191, 14405, 21479,  5759,  2564,  4991,  1271,  1136,   263,    90,   599,   214,   183,   393,   122,   288,   184,   110,    70
"37","06073","San Diego", 476021,1862,1862,166228,134020, 61904, 59711, 25622, 11306,  8093,  2779,  2944,   388,   167,   891,   211,   387,   349,   227,   429,   164,   102,    99
"38","06075","San Francisco", 259477, 609, 609, 89202, 62288, 58726, 28931, 10359,  3611,  1699,  2822,   971,   119,    63,   150,    69,   104,   128,    92,    54,    38,    31,    20
"39","06077","San Joaquin",  66533, 377, 377, 21325, 20920,  4647, 11059,  3008,  1318,  2123,   523,   527,   103,    47,   243,    49,    79,   275,    41,    83,    67,    61,    35
"40","06079","San Luis Obispo",  53161, 142, 142, 16628, 14456,  8241,  5716,  3644,  2061,  1421,   299,   392,    49,    14,    28,    21,    55,    39,    15,    32,    21,     9,    20
"41","06081","San Mateo", 161101, 341, 341, 45548, 44037, 24842, 27062,  8802,  4882,  2825,  1527,   832,    87,    86,   124,    57,   105,    94,    37,    60,    46,    22,    26
"42","06083","Santa Barbara",  69316, 202, 202, 23958, 18891, 10220,  7706,  3853,  1997,  1444,   357,   442,    59,    12,   120,    15,    64,    52,    19,    40,    25,    13,    29
"43","06085","Santa Clara", 325579, 478, 478,108385, 87931, 44508, 47368, 15040,  9960,  5031,  3606,  2017,   175,    45,   237,   339,   199,   240,    52,   159,   165,    62,    60
"44","06087","Santa Cruz",  76545, 199, 199, 30891, 18679, 12761,  6653,  3103,  2102,  1323,   280,   453,    34,     9,    34,    21,    68,    39,     7,    29,    36,    13,    10
"45","06089","Shasta",  17630,  97,  97,  5026,  5005,  2023,  1697,  1356,   841,  1108,   155,   211,    34,     6,    19,    17,    46,    28,    17,    18,    14,     3,     6
"46","06091","Sierra",    482,  23,  23,   130,   101,    70,    59,    47,    33,    28,     4,    10,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
"47","06093","Siskiyou",   6074,  54,  54,  2131,  1498,   865,   581,   430,   293,   110,    46,    49,     7,     2,     9,     3,    20,     8,     8,     3,     4,     4,     3
"48","06095","Solano",  68741, 175, 175, 20688, 23759,  6889,  9723,  2760,  1497,  1896,   515,   472,    96,    13,    72,    27,    90,    75,    20,    63,    46,    23,    17
"49","06097","Sonoma", 119774, 526, 526, 38126, 29482, 18073, 16925,  7684,  4826,  2944,   483,   695,    75,    47,    52,    34,   115,    80,     6,    38,    50,    14,    25
"50","06099","Stanislaus",  45368, 165, 165, 15505, 12682,  3470,  7268,  2486,  1151,  1510,   301,   378,    58,    26,   144,    34,    44,   115,    15,    77,    43,    41,    20
"51","06101","Sutter",   8681,  48,  48,  3335,  2235,   657,  1225,   486,   182,   253,    76,    99,    16,    17,     9,    20,    11,    17,     6,    14,    15,     3,     5
"52","06103","Tehama",   5020,  46,  46,  1463,  1343,   532,   590,   318,   197,   377,    41,    59,     5,    12,    19,    13,     8,     9,     4,     8,    14,     2,     6
"53","06105","Trinity",   1993,  25,  25,   782,   458,   250,   165,    96,    78,   107,    18,    21,     5,     0,     0,     3,     4,     0,     0,     4,     2,     0,     0
"54","06107","Tulare",  26900, 134, 134, 10532,  7404,  1900,  3499,  1037,   588,  1050,   231,   204,    38,    16,   107,    45,    45,    48,    20,    77,    31,    12,    16
"55","06109","Tuolumne",   8002,  73,  73,  2258,  2010,   841,  1290,   661,   390,   339,    44,    88,    10,     2,     5,     4,    21,    15,     2,     5,    10,     5,     2
"56","06111","Ventura", 126271, 648, 648, 42833, 39497, 14701, 15184,  5670,  3175,  2716,   683,   950,    89,    21,   176,    69,   146,   128,    37,    98,    45,    21,    32
"57","06113","Yolo",  36864, 138, 138, 12778,  9696,  6634,  3526,  2009,  1002,   548,   237,   203,    22,     7,    45,    19,    47,    34,     4,    24,    15,     7,     7
"58","06115","Yuba",   5784,  34,  34,  2052,  1580,   486,   830,   284,   117,   221,    77,    57,    11,     9,    12,    14,     9,     4,     5,     2,     8,     3,     3
