"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.warrene","results.gabbardt","results.bloombergm","results.buttigiegp","results.klobuchara","results.steyert","results.bookerc","results.yanga","results.delaneyj","results.williamsonm","results.bennetm","results.burkes","results.castroj","results.de_la_fuente_iiir","results.haasb","results.hewesh","results.patrickd","results.steinmanl","results.steinmanv","results.wellsr","results.uncommitted"
"60","29121","Macon",    0,  0,  12,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
"61","29123","Madison",  617,  8,   8,  383,  198,    5,    6,    9,    2,    5,    1,    0,    3,    0,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    4
"62","29125","Maries",  556, 11,  11,  343,  176,    7,    5,    4,    3,    3,    4,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    1,    1,    0,    0,    8
"63","29127","Marion", 1723, 18,  18, 1153,  451,   22,   21,   16,    7,   21,   10,    2,    0,    0,    0,    3,    1,    0,    1,    0,    1,    0,    0,    0,    2,   12
"64","29119","McDonald",    0,  0,  19,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
"65","29129","Mercer",  121,  5,   5,   83,   34,    1,    0,    1,    0,    1,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
"66","29131","Miller", 1064, 13,  13,  672,  322,   13,    9,   18,    8,    8,    4,    1,    2,    0,    1,    1,    0,    0,    0,    0,    0,    0,    3,    0,    0,    2
"67","29133","Mississippi",  571,  9,   9,  414,  123,    5,    7,    4,    2,    3,    2,    0,    1,    0,    0,    1,    1,    0,    0,    0,    0,    1,    0,    0,    0,    7
"68","29135","Moniteau",  798, 10,  10,  474,  252,   18,   16,   12,    8,    4,    0,    1,    1,    1,    0,    0,    0,    0,    0,    3,    0,    2,    0,    2,    0,    4
"69","29137","Monroe",  549,  9,   9,  380,  134,    4,    5,    8,    3,    5,    2,    0,    0,    2,    0,    0,    0,    0,    0,    1,    0,    0,    0,    0,    0,    5
"70","29139","Montgomery",    0,  0,  10,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
"71","29141","Morgan", 1173, 11,  11,  781,  316,   10,   12,   22,    2,    8,    2,    2,    2,    2,    0,    0,    1,    0,    2,    1,    2,    0,    0,    2,    0,    6
"72","29143","New Madrid",  797, 19,  19,  535,  223,    6,   10,    4,    2,    0,    0,    2,    0,    2,    0,    0,    0,    0,    1,    1,    0,    0,    0,    2,    0,    9
"73","29145","Newton",    0,  0,  24,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
"74","29147","Nodaway", 1594, 18,  18,  974,  484,   32,   29,   30,   15,   11,    3,    0,    1,    0,    1,    0,    1,    0,    0,    1,    0,    1,    0,    0,    0,   11
"75","29149","Oregon",  480, 10,  10,  320,  123,    6,    4,    5,    3,    3,    0,    1,    1,    1,    0,    1,    0,    0,    0,    4,    1,    0,    0,    1,    0,    6
"76","29151","Osage",  685, 12,  12,  442,  177,    7,   18,    5,   10,    8,    2,    2,    1,    0,    0,    1,    0,    0,    0,    1,    0,    0,    2,    1,    0,    8
"77","29153","Ozark",  408, 11,  11,  254,  133,    4,    1,    5,    5,    2,    0,    0,    1,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    1,    0,    1
"78","29155","Pemiscot",  581, 12,  12,  412,  134,    2,    4,   10,    4,    4,    1,    2,    0,    0,    1,    0,    0,    0,    1,    0,    0,    1,    0,    0,    0,    5
"79","29157","Perry",    0,  0,  19,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
"80","29159","Pettis", 2741, 17,  17, 1580,  893,   44,   23,   93,   20,   27,   10,    3,    4,    3,    0,    2,    1,    1,    2,    0,    2,    0,    0,    5,    1,   27
"81","29161","Phelps", 1153,  1,  20,  459,  322,  142,    7,  104,   49,   60,    2,    1,    2,    1,    0,    0,    0,    0,    0,    0,    1,    0,    1,    0,    0,    2
"82","29163","Pike", 1096, 14,  14,  721,  308,    7,    7,   17,    6,   11,    2,    0,    1,    0,    0,    0,    0,    0,    0,    2,    0,    1,    0,    0,    2,   11
"83","29165","Platte",13115, 28,  28, 7933, 4602,  145,  115,  136,   62,   46,    6,    6,   19,    0,    0,    1,    2,    2,    0,    4,    2,    0,    0,    2,    1,   31
"84","29167","Polk", 1623, 23,  23, 1011,  515,   21,   16,   24,    7,    6,    3,    4,    5,    0,    0,    0,    0,    1,    0,    2,    0,    0,    1,    0,    0,    7
"85","29169","Pulaski", 1530,  9,   9,  933,  483,   19,   30,   28,   14,    7,    1,    2,    6,    1,    0,    0,    0,    0,    0,    0,    0,    1,    0,    0,    0,    5
"86","29171","Putnam",  185,  8,   8,  124,   48,    3,    3,    0,    3,    0,    0,    0,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    2
"87","29173","Ralls",  673,  8,   8,  484,  147,    3,   11,    3,    2,    4,    5,    0,    1,    0,    0,    1,    1,    0,    0,    0,    0,    0,    1,    0,    3,    7
"88","29175","Randolph", 1423, 15,  15,  904,  417,   22,   25,   17,    9,   10,    0,    2,    2,    1,    1,    1,    1,    0,    0,    0,    0,    0,    1,    0,    1,    9
"89","29177","Ray", 1717, 14,  14, 1108,  503,   22,   17,   22,    9,   11,    3,    1,    2,    0,    1,    0,    0,    0,    0,    2,    1,    0,    0,    1,    1,   13
"90","29179","Reynolds",  365, 14,  14,  213,   99,    7,    3,    8,    4,    7,    0,    1,    2,    2,    0,    1,    0,    0,    1,    3,    0,    0,    0,    0,    1,   13
"91","29181","Ripley",  524,  8,   8,  297,  187,    9,    4,   12,    1,    3,    1,    0,    0,    1,    3,    0,    2,    0,    0,    0,    1,    0,    0,    1,    0,    2
"92","29195","Saline",    0,  0,  16,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
