"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bloombergm","results.warrene","results.klobuchara","results.gabbardt","results.steyert","results.buttigiegp","results.bennetm","results.williamsonm","results.bookerc","results.yanga","results.patrickd","results.castroj"
"50","40099","Murray", 1136, 10, 10,  439,  181,  173,  102,   59,   41,   29,   23,    9,   19,   29,   17,    7,    8
"51","40101","Muskogee", 5930, 33, 33, 2461, 1104, 1126,  540,  212,  129,   58,   78,   34,   39,   50,   59,   28,   12
"52","40103","Noble",  740, 12, 12,  246,  131,  136,  105,   41,   20,    4,   23,    7,    3,   14,    4,    3,    3
"53","40105","Nowata",  656, 11, 11,  218,  104,  137,   93,   39,   19,    9,   13,    7,    2,    5,    7,    2,    1
"54","40107","Okfuskee",  764, 13, 13,  277,  120,  140,   93,   39,   19,   11,   15,    5,    9,   16,    8,    6,    6
"55","40109","Oklahoma",75866,257,257,31381,21113, 8442,11420,  832,  637,  167, 1026,  145,  117,  166,  298,   53,   69
"56","40111","Okmulgee", 3028, 24, 26, 1254,  506,  648,  233,  103,   71,   30,   63,   26,   14,   25,   34,   12,    9
"57","40113","Osage", 4103, 28, 28, 1817,  821,  704,  409,   83,   76,   39,   38,   16,   20,   32,   27,   11,   10
"58","40115","Ottawa", 2110, 16, 16,  944,  411,  276,  180,   65,   71,   35,   59,    8,   14,   18,   14,   10,    5
"59","40117","Pawnee", 1184, 10, 10,  419,  240,  222,  130,   46,   34,   14,   18,   12,   12,   11,   15,   10,    1
"60","40119","Payne", 6414, 31, 31, 2240, 1786,  743, 1215,  124,   86,   18,  114,    7,   12,   21,   31,   12,    5
"61","40121","Pittsburg", 3679, 41, 41, 1341,  699,  596,  355,  219,  145,   39,   75,   33,   39,   50,   51,   16,   21
"62","40123","Pontotoc", 2835, 21, 21, 1113,  734,  381,  301,   72,   48,   34,   54,   23,   12,   27,   27,    6,    3
"63","40125","Pottawatomie", 4814, 20, 26, 1885, 1021,  786,  607,  152,   83,   37,  107,   31,   24,   23,   27,   15,   16
"64","40127","Pushmataha",  791, 13, 13,  253,  119,  145,   87,   57,   37,   22,   20,   10,   11,   10,    8,    5,    7
"65","40129","Roger Mills",  243,  9,  9,   77,   36,   31,   35,   18,   11,    6,   14,    3,    1,    7,    0,    2,    2
"66","40131","Rogers", 5997, 36, 36, 2168, 1361, 1069,  739,  193,  120,   52,  125,   20,   31,   34,   62,   10,   13
"67","40133","Seminole", 1687, 14, 14,  685,  310,  275,  183,   61,   44,   22,   39,   19,    9,   14,   14,    5,    7
"68","40135","Sequoyah", 2564, 26, 26, 1023,  431,  455,  211,  106,   93,   60,   49,   39,   23,   19,   31,   10,   14
"69","40137","Stephens", 2311, 28, 28,  977,  430,  353,  256,   66,   40,   25,   49,   26,    9,   40,   24,    8,    8
"70","40139","Texas",  419, 11, 11,  145,   89,   53,   55,   13,   14,    6,   12,    4,    7,    9,    7,    3,    2
"71","40141","Tillman",  404,  6,  9,  179,   55,   71,   30,   17,   13,    5,   15,    3,    2,    5,    5,    3,    1
"72","40143","Tulsa",57086,262,263,21070,17195, 8064, 8062,  673,  626,  128,  708,   83,   80,  115,  213,   35,   34
"73","40145","Wagoner", 5066, 32, 32, 1997, 1161,  895,  524,  136,  114,   38,   91,   14,    9,   31,   32,   12,   12
"74","40147","Washington", 3313, 23, 23, 1385,  711,  519,  415,   78,   52,   21,   65,   10,   15,   12,   18,    3,    9
"75","40149","Washita",  674, 12, 12,  213,  120,  110,   85,   54,   18,   14,   21,    5,    6,   14,    3,    5,    6
"76","40151","Woods",  418,  6,  6,  142,   72,   77,   66,   24,    7,    4,   13,    2,    4,    6,    0,    0,    1
"77","40153","Woodward",  761, 15, 15,  269,  164,  115,  110,   28,   15,   12,   16,    6,    6,    8,    3,    7,    2
