"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Sanders","Buttigieg","Klobuchar","Warren","Biden","Yang","Gabbard","Steyer","Patrick","Bennet","Harris","O'Rourke","Booker","Williamson","Bloomberg","Castro","Delaney","Bullock","Sestak","Messam","de Blasio","Hickenlooper","Gillibrand","Inslee","Moulton","Gravel","Brown","McAuliffe","Swalwell","Kennedy","O'Malley","Zuckerberg","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"34",NA,"CNN/UNH","126398","poll","2/4 - 2/7","","356 LV","5.1","",Sanders,,+7.0,#457fff,2020-02-08 12:16:46,"https://scholars.unh.edu/cgi/viewcontent.cgi?article=1572&amp;context=survey_center_polls",2020-02-04,2020-02-07,"1","Sanders","","+7.0","#457fff",28.0,21.0, 5.0, 9,11,3.0,6.0,3.0, 0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,"UMass Lowell","126406","poll","2/4 - 2/7","","440 LV","","",Sanders,,+8.0,#457fff,2020-02-10 08:07:22,"https://www.uml.edu/docs/2020-NH-Primary-2-Topline_tcm18-322047.pdf",2020-02-04,2020-02-07,"1","Sanders","","+8.0","#457fff",25.0,17.0, 8.0,15,14,3.0,4.0,5.0, 1,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,"WHDH/Emerson","126397","poll","2/6 - 2/7","","500 LV","4.3","",Sanders,,+7.0,#457fff,2020-02-07 23:24:37,"https://emersonpolling.reportablenews.com/pr/new-hampshire-2020-tracking-poll-night-6-sanders-continues-to-lead-as-buttigieg-inches-closer",2020-02-06,2020-02-07,"1","Sanders","","+7.0","#457fff",31.0,24.0, 9.0,11,11,3.0,5.0,2.0, 0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,"Boston Globe/Suffolk","126391","poll","2/5 - 2/6","","500 LV","","",Sanders,,+1.0,#457fff,2020-02-06 23:17:41,"https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/new-hampshire/2020/2-6-20_final_nh_tracking_marginals.pdf?la=en&amp;hash=BF6BEEE041317725242A8B602ECCCE0FCD95BA3B",2020-02-05,2020-02-06,"1","Sanders","","+1.0","#457fff",24.0,23.0, 6.0,13,11,3.0,4.0,3.0, 1,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,"NBC News/Marist","126395","poll","2/4 - 2/6","","709 LV","","",Sanders,,+4.0,#457fff,2020-02-07 23:37:48,"https://www.nbcnews.com/politics/meet-the-press/nbc-news-marist-poll-sanders-buttigieg-continue-lead-new-hampshire-n1132766/",2020-02-04,2020-02-06,"1","Sanders","","+4.0","#457fff",25.0,21.0, 8.0,14,13,4.0,3.0,4.0, 1,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,"WHDH/Emerson","126392","poll","2/5 - 2/6","","500 LV","4.3","",Sanders,,+9.0,#457fff,2020-02-06 23:03:32,"https://emersonpolling.reportablenews.com/pr/new-hampshire-2020-tracking-poll-night-5-sanders-holds-lead-in-new-hampshire-buttigieg-continues-to-gain",2020-02-05,2020-02-06,"1","Sanders","","+9.0","#457fff",32.0,23.0, 9.0,13,11,2.0,6.0,2.0, 0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Monmouth University","Monmouth","126388","poll","2/3 - 2/5","","503 LV","4.4","",Sanders,,+4.0,#457fff,2020-02-06 12:06:09,"https://www.monmouth.edu/polling-institute/reports/monmouthpoll_NH_020620/",2020-02-03,2020-02-05,"1","Sanders","","+4.0","#457fff",24.0,20.0, 9.0,13,17,4.0,4.0,3.0, 0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,100,"yes","yes","Live","no",-1.9,-1.5,"A+","D +1.3","80%","21%",5.2,6.5,-1.1,-1.9,-1.6,-1.5, 70,"D +1.8","D +1.3","R +0.5",5.1,0.20
"12",NA,"Boston Globe/Suffolk","126380","poll","2/4 - 2/5","","500 LV","","",Sanders,,+6.0,#457fff,2020-02-05 23:35:15,"https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/new-hampshire/2020/2-5-20_final_nh_tracking_marginals.pdf?la=en&amp;hash=1E4742AE1131C77035238DA286D20F34106FC197",2020-02-04,2020-02-05,"1","Sanders","","+6.0","#457fff",25.0,19.0, 6.0,11,12,2.0,5.0,4.0, 0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,"WHDH/Emerson","126381","poll","2/3 - 2/5","","500 LV","4.3","",Sanders,,+10.0,#457fff,2020-02-05 23:07:11,"https://emersonpolling.reportablenews.com/pr/new-hampshire-2020-tracking-poll-night-4-buttigieg-continues-to-gain-on-sanders",2020-02-03,2020-02-05,"1","Sanders","","+10.0","#457fff",31.0,21.0,11.0,12,12,5.0,5.0,1.0, 0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,"Boston Globe/Suffolk","126332","poll","2/3 - 2/4","","500 LV","4.4","",Sanders,,+9.0,#457fff,2020-02-04 23:20:10,"https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/new-hampshire/2020/final-nh-tracking-marginals-2-4-20.pdf?la=en&amp;hash=21F83033C007AAF938C58999F5FDEE47D0A528D9",2020-02-03,2020-02-04,"1","Sanders","","+9.0","#457fff",24.0,15.0, 6.0,10,15,3.0,5.0,5.0, 0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,"WHDH/Emerson","126333","poll","2/2 - 2/4","","500 LV","4.3","",Sanders,,+15.0,#457fff,2020-02-04 23:08:50,"https://emersonpolling.reportablenews.com/pr/new-hampshire-2020-tracking-poll-night-3-buttigieg-gets-an-iowa-bounce-sanders-maintains-strong-lead",2020-02-02,2020-02-04,"1","Sanders","","+15.0","#457fff",32.0,17.0,11.0,11,13,6.0,6.0,2.0, 1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,"Boston Globe/Suffolk","126323","poll","2/2 - 2/3","","500 LV","4.4","",Sanders,,+6.0,#457fff,2020-02-04 22:59:15,"https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/new-hampshire/2020/2-3-2020_final_nh_tracking_marginals.pdf",2020-02-02,2020-02-03,"1","Sanders","","+6.0","#457fff",24.0,11.0, 6.0,13,18,3.0,5.0,4.0, 1,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,"WHDH/Emerson","126324","poll","2/1 - 2/3","","500 LV","4.3","",Sanders,,+19.0,#457fff,2020-02-03 23:13:13,"https://emersonpolling.reportablenews.com/pr/new-hampshire-2020-tracking-poll-night-2-sanders-lead-extends-further",2020-02-01,2020-02-03,"1","Sanders","","+19.0","#457fff",32.0,12.0,12.0,13,13,5.0,4.0,5.0, 0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,"St. Anselm","126331","poll","1/29 - 2/2","","491 LV","4.4","",Tie,,,,2020-02-04 23:01:30,"https://www.anselm.edu/sites/default/files/Documents/NHIOP/Polls/Democratic%20Voter%20Survey%20Jan-Feb%202020.pdf",2020-01-29,2020-02-02,"1","Tie","","","",19.0,14.0,11.0,11,19,4.0,3.0,5.0, 0,0.0,NA,NA,NA,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,"WHDH/Emerson","126311","poll","1/31 - 2/2","","500 LV","","",Sanders,,+15.0,#457fff,2020-02-04 23:00:08,"http://emersonpolling.com/2020/02/03/new-hampshire-2020-tracking-poll-night-1-sanders-opens-commanding-lead/",2020-01-31,2020-02-02,"1","Sanders","","+15.0","#457fff",29.0,13.0, 8.0,12,14,7.0,7.0,8.0, 0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
